,Datatype,Modeltype,Featuretype,Scoretype,Top1: # correct binding poses:,Top1: '%' correct binding poses:,Top2: # correct binding poses:,Top2: '%' correct binding poses:,Top3: # correct binding poses:,Top3: '%' correct binding poses:,Spearman correlation coefficient in rmsd range [0-2]:,90'%' confidence interval in rmsd range [0-2]:,Spearman correlation coefficient in rmsd range [0-3]:,90'%' confidence interval in rmsd range [0-3]:,Spearman correlation coefficient in rmsd range [0-4]:,90'%' confidence interval in rmsd range [0-4]:,Spearman correlation coefficient in rmsd range [0-5]:,90'%' confidence interval in rmsd range [0-5]:,Spearman correlation coefficient in rmsd range [0-6]:,90'%' confidence interval in rmsd range [0-6]:,Spearman correlation coefficient in rmsd range [0-7]:,90'%' confidence interval in rmsd range [0-7]:,Spearman correlation coefficient in rmsd range [0-8]:,90'%' confidence interval in rmsd range [0-8]:,Spearman correlation coefficient in rmsd range [0-9]:,90'%' confidence interval in rmsd range [0-9]:,Spearman correlation coefficient in rmsd range [0-10]:,90'%' confidence interval in rmsd range [0-10]:
0,all,linearRegression,final,delta_G,24,8.4%,53,18.6%,73,25.6%,-0.556,[-0.622~-0.482],-0.583,[-0.646~-0.513],-0.552,[-0.618~-0.478],-0.512,[-0.583~-0.434],-0.479,[-0.553~-0.398],-0.439,[-0.517~-0.354],-0.411,[-0.491~-0.324],-0.384,[-0.467~-0.295],-0.364,[-0.448~-0.273]
1,all,linearRegression,final,Affinity_Data_Value,27,9.5%,53,18.6%,75,26.3%,-0.552,[-0.618~-0.478],-0.581,[-0.644~-0.51],-0.550,[-0.616~-0.476],-0.510,[-0.581~-0.432],-0.477,[-0.551~-0.395],-0.439,[-0.517~-0.354],-0.412,[-0.492~-0.325],-0.386,[-0.468~-0.297],-0.366,[-0.45~-0.276]
2,all,linearRegression,final,pKd_pKi_pIC50,217,76.1%,241,84.6%,254,89.1%,0.555,[0.481~0.621],0.583,[0.513~0.646],0.553,[0.479~0.619],0.513,[0.435~0.583],0.479,[0.398~0.553],0.439,[0.354~0.517],0.412,[0.325~0.492],0.385,[0.296~0.467],0.365,[0.275~0.449]
3,all,linearRegression,GAP,delta_G,14,4.9%,28,9.8%,35,12.3%,-0.312,[-0.4~-0.218],-0.406,[-0.487~-0.318],-0.432,[-0.51~-0.347],-0.441,[-0.519~-0.356],-0.456,[-0.532~-0.373],-0.451,[-0.528~-0.367],-0.450,[-0.527~-0.366],-0.450,[-0.527~-0.366],-0.449,[-0.526~-0.365]
4,all,linearRegression,GAP,Affinity_Data_Value,22,7.7%,33,11.6%,39,13.7%,0.228,[0.13~0.321],0.177,[0.078~0.273],0.099,[-0.002~0.198],0.014,[-0.087~0.114],-0.057,[-0.157~0.044],-0.114,[-0.212~-0.014],-0.151,[-0.248~-0.051],-0.184,[-0.279~-0.085],-0.207,[-0.301~-0.109]
5,all,linearRegression,GAP,pKd_pKi_pIC50,119,41.8%,161,56.5%,186,65.3%,0.380,[0.29~0.463],0.471,[0.389~0.546],0.485,[0.404~0.558],0.484,[0.403~0.557],0.491,[0.411~0.564],0.478,[0.397~0.552],0.470,[0.388~0.545],0.466,[0.383~0.541],0.461,[0.378~0.537]
6,all,Ridge,final,delta_G,30,10.5%,55,19.3%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.413,[-0.493~-0.326],-0.387,[-0.469~-0.298],-0.367,[-0.451~-0.277]
7,all,Ridge,final,Affinity_Data_Value,27,9.5%,54,18.9%,74,26.0%,-0.561,[-0.626~-0.488],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.515,[-0.585~-0.437],-0.482,[-0.556~-0.401],-0.443,[-0.52~-0.358],-0.415,[-0.495~-0.328],-0.389,[-0.471~-0.3],-0.368,[-0.452~-0.278]
8,all,Ridge,final,pKd_pKi_pIC50,220,77.2%,243,85.3%,254,89.1%,0.559,[0.486~0.625],0.586,[0.516~0.648],0.554,[0.48~0.62],0.514,[0.436~0.584],0.481,[0.4~0.555],0.442,[0.357~0.519],0.414,[0.327~0.494],0.388,[0.299~0.47],0.367,[0.277~0.451]
9,all,Ridge,GAP,delta_G,13,4.6%,23,8.1%,39,13.7%,-0.278,[-0.369~-0.182],-0.373,[-0.456~-0.283],-0.402,[-0.483~-0.314],-0.419,[-0.499~-0.332],-0.436,[-0.514~-0.351],-0.436,[-0.514~-0.351],-0.438,[-0.516~-0.353],-0.441,[-0.519~-0.356],-0.442,[-0.519~-0.357]
10,all,Ridge,GAP,Affinity_Data_Value,23,8.1%,33,11.6%,39,13.7%,0.245,[0.148~0.338],0.195,[0.096~0.29],0.118,[0.018~0.216],0.032,[-0.069~0.132],-0.041,[-0.141~0.06],-0.099,[-0.198~0.002],-0.137,[-0.234~-0.037],-0.170,[-0.266~-0.071],-0.195,[-0.29~-0.096]
11,all,Ridge,GAP,pKd_pKi_pIC50,110,38.6%,157,55.1%,181,63.5%,0.356,[0.265~0.441],0.450,[0.366~0.527],0.466,[0.383~0.541],0.470,[0.388~0.545],0.481,[0.4~0.555],0.472,[0.39~0.547],0.467,[0.385~0.542],0.465,[0.382~0.54],0.461,[0.378~0.537]
12,all,Lasso,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.414,[-0.494~-0.327],-0.388,[-0.47~-0.299],-0.367,[-0.451~-0.277]
13,all,Lasso,final,Affinity_Data_Value,29,10.2%,54,18.9%,75,26.3%,-0.561,[-0.626~-0.488],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.515,[-0.585~-0.437],-0.483,[-0.556~-0.402],-0.444,[-0.521~-0.36],-0.417,[-0.497~-0.33],-0.390,[-0.472~-0.301],-0.370,[-0.454~-0.28]
14,all,Lasso,final,pKd_pKi_pIC50,218,76.5%,241,84.6%,254,89.1%,0.559,[0.486~0.625],0.586,[0.516~0.648],0.554,[0.48~0.62],0.513,[0.435~0.583],0.481,[0.4~0.555],0.442,[0.357~0.519],0.415,[0.328~0.495],0.389,[0.3~0.471],0.368,[0.278~0.452]
15,all,Lasso,GAP,delta_G,13,4.6%,22,7.7%,31,10.9%,-0.225,[-0.319~-0.127],-0.318,[-0.406~-0.225],-0.354,[-0.439~-0.263],-0.381,[-0.464~-0.292],-0.404,[-0.485~-0.316],-0.410,[-0.49~-0.323],-0.416,[-0.496~-0.329],-0.421,[-0.5~-0.335],-0.425,[-0.504~-0.339]
16,all,Lasso,GAP,Affinity_Data_Value,29,10.2%,38,13.3%,43,15.1%,0.313,[0.219~0.401],0.272,[0.176~0.363],0.202,[0.104~0.296],0.115,[0.015~0.213],0.038,[-0.063~0.138],-0.025,[-0.125~0.076],-0.068,[-0.167~0.033],-0.105,[-0.203~-0.005],-0.133,[-0.23~-0.033]
17,all,Lasso,GAP,pKd_pKi_pIC50,70,24.6%,117,41.1%,150,52.6%,0.247,[0.15~0.339],0.342,[0.25~0.428],0.376,[0.286~0.459],0.398,[0.31~0.479],0.419,[0.332~0.499],0.422,[0.336~0.501],0.426,[0.34~0.505],0.431,[0.345~0.509],0.433,[0.348~0.511]
18,all,ElasticNet,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.414,[-0.494~-0.327],-0.388,[-0.47~-0.299],-0.368,[-0.452~-0.278]
19,all,ElasticNet,final,Affinity_Data_Value,28,9.8%,53,18.6%,74,26.0%,-0.556,[-0.622~-0.482],-0.585,[-0.647~-0.515],-0.553,[-0.619~-0.479],-0.514,[-0.584~-0.436],-0.484,[-0.557~-0.403],-0.446,[-0.523~-0.362],-0.421,[-0.5~-0.335],-0.396,[-0.478~-0.308],-0.376,[-0.459~-0.286]
20,all,ElasticNet,final,pKd_pKi_pIC50,217,76.1%,239,83.9%,254,89.1%,0.558,[0.484~0.624],0.586,[0.516~0.648],0.554,[0.48~0.62],0.514,[0.436~0.584],0.481,[0.4~0.555],0.442,[0.357~0.519],0.415,[0.328~0.495],0.390,[0.301~0.472],0.369,[0.279~0.453]
21,all,ElasticNet,GAP,delta_G,12,4.2%,20,7.0%,25,8.8%,0.054,[-0.047~0.154],-0.011,[-0.111~0.09],-0.084,[-0.183~0.017],-0.156,[-0.253~-0.056],-0.206,[-0.3~-0.108],-0.242,[-0.334~-0.145],-0.269,[-0.36~-0.173],-0.292,[-0.381~-0.197],-0.308,[-0.396~-0.214]
22,all,ElasticNet,GAP,Affinity_Data_Value,34,11.9%,42,14.7%,46,16.1%,0.340,[0.248~0.426],0.306,[0.212~0.394],0.241,[0.144~0.333],0.155,[0.055~0.252],0.080,[-0.021~0.179],0.015,[-0.086~0.115],-0.029,[-0.129~0.072],-0.068,[-0.167~0.033],-0.098,[-0.197~0.003]
23,all,ElasticNet,GAP,pKd_pKi_pIC50,50,17.5%,87,30.5%,125,43.9%,0.138,[0.038~0.236],0.226,[0.128~0.319],0.272,[0.176~0.363],0.316,[0.223~0.404],0.348,[0.256~0.433],0.362,[0.271~0.446],0.374,[0.284~0.457],0.385,[0.296~0.467],0.393,[0.305~0.475]
24,all,SVR,final,delta_G,30,10.5%,65,22.8%,85,29.8%,0.306,[0.208~0.398],0.231,[0.132~0.326],0.214,[0.115~0.309],0.216,[0.117~0.311],0.212,[0.113~0.307],0.227,[0.129~0.32],0.234,[0.137~0.327],0.235,[0.138~0.328],0.240,[0.143~0.332]
25,all,SVR,final,Affinity_Data_Value,28,9.8%,54,18.9%,75,26.3%,-0.561,[-0.626~-0.488],-0.589,[-0.651~-0.519],-0.557,[-0.623~-0.484],-0.517,[-0.587~-0.439],-0.485,[-0.558~-0.404],-0.447,[-0.524~-0.363],-0.420,[-0.499~-0.334],-0.394,[-0.476~-0.306],-0.374,[-0.457~-0.284]
26,all,SVR,final,pKd_pKi_pIC50,36,12.6%,61,21.4%,79,27.7%,-0.216,[-0.313~-0.114],-0.160,[-0.258~-0.058],-0.134,[-0.233~-0.033],-0.136,[-0.234~-0.035],-0.136,[-0.234~-0.035],-0.146,[-0.243~-0.046],-0.152,[-0.249~-0.052],-0.158,[-0.254~-0.058],-0.169,[-0.265~-0.07]
27,all,DecisionTree,final,delta_G,137,48.1%,167,58.6%,178,62.5%,0.142,[-0.05~0.324],0.136,[-0.034~0.299],0.167,[0.003~0.322],0.182,[0.031~0.325],0.186,[0.044~0.321],0.185,[0.049~0.314],0.192,[0.058~0.319],0.187,[0.054~0.313],0.185,[0.054~0.31]
28,all,DecisionTree,final,Affinity_Data_Value,38,13.3%,72,25.3%,89,31.2%,-0.174,[-0.274~-0.07],-0.222,[-0.316~-0.123],-0.214,[-0.308~-0.116],-0.198,[-0.293~-0.099],-0.168,[-0.264~-0.069],-0.139,[-0.236~-0.039],-0.122,[-0.22~-0.022],-0.108,[-0.206~-0.008],-0.098,[-0.197~0.003]
29,all,DecisionTree,final,pKd_pKi_pIC50,89,31.2%,124,43.5%,148,51.9%,0.162,[0.044~0.276],0.178,[0.075~0.277],0.173,[0.072~0.271],0.150,[0.049~0.248],0.136,[0.035~0.234],0.117,[0.016~0.215],0.103,[0.002~0.202],0.088,[-0.013~0.187],0.078,[-0.023~0.177]
30,all,DecisionTree,GAP,delta_G,113,39.6%,152,53.3%,169,59.3%,0.037,[-0.111~0.183],0.015,[-0.114~0.144],0.005,[-0.121~0.13],-0.007,[-0.129~0.115],-0.002,[-0.121~0.117],0.007,[-0.11~0.124],0.008,[-0.108~0.124],0.008,[-0.107~0.123],0.013,[-0.102~0.127]
31,all,DecisionTree,GAP,Affinity_Data_Value,106,37.2%,150,52.6%,173,60.7%,-0.075,[-0.255~0.11],-0.102,[-0.259~0.061],-0.072,[-0.224~0.084],-0.050,[-0.197~0.099],-0.040,[-0.181~0.103],-0.034,[-0.173~0.106],-0.043,[-0.179~0.095],-0.048,[-0.182~0.088],-0.048,[-0.181~0.086]
32,all,DecisionTree,GAP,pKd_pKi_pIC50,79,27.7%,121,42.5%,143,50.2%,0.030,[-0.091~0.15],0.043,[-0.072~0.156],0.047,[-0.065~0.158],0.033,[-0.076~0.141],0.032,[-0.076~0.139],0.030,[-0.077~0.136],0.021,[-0.085~0.127],0.018,[-0.087~0.123],0.016,[-0.089~0.121]
33,all,RandomForest,final,delta_G,36,12.6%,65,22.8%,88,30.9%,-0.136,[-0.234~-0.036],-0.188,[-0.283~-0.089],-0.180,[-0.276~-0.081],-0.153,[-0.25~-0.053],-0.128,[-0.226~-0.028],-0.087,[-0.186~0.014],-0.061,[-0.161~0.04],-0.041,[-0.141~0.06],-0.026,[-0.126~0.075]
34,all,RandomForest,final,Affinity_Data_Value,34,11.9%,54,18.9%,73,25.6%,-0.094,[-0.193~0.007],-0.156,[-0.253~-0.056],-0.150,[-0.247~-0.05],-0.140,[-0.237~-0.04],-0.133,[-0.23~-0.033],-0.106,[-0.204~-0.006],-0.096,[-0.195~0.005],-0.086,[-0.185~0.015],-0.074,[-0.173~0.027]
35,all,RandomForest,final,pKd_pKi_pIC50,42,14.7%,81,28.4%,102,35.8%,0.050,[-0.051~0.15],0.099,[-0.002~0.198],0.077,[-0.024~0.176],0.050,[-0.051~0.15],0.039,[-0.062~0.139],0.015,[-0.086~0.115],0.004,[-0.097~0.104],-0.008,[-0.108~0.093],-0.019,[-0.119~0.082]
36,all,RandomForest,GAP,delta_G,67,23.5%,100,35.1%,128,44.9%,-0.092,[-0.191~0.009],-0.055,[-0.155~0.046],-0.040,[-0.14~0.061],-0.015,[-0.115~0.086],-0.001,[-0.102~0.1],0.020,[-0.081~0.12],0.024,[-0.077~0.124],0.022,[-0.079~0.122],0.022,[-0.079~0.122]
37,all,RandomForest,GAP,Affinity_Data_Value,100,35.1%,144,50.5%,179,62.8%,0.186,[0.087~0.282],0.255,[0.159~0.347],0.277,[0.182~0.367],0.279,[0.184~0.369],0.279,[0.184~0.369],0.270,[0.174~0.361],0.263,[0.167~0.354],0.256,[0.16~0.348],0.252,[0.155~0.344]
38,all,RandomForest,GAP,pKd_pKi_pIC50,36,12.6%,53,18.6%,77,27.0%,-0.056,[-0.156~0.045],-0.062,[-0.162~0.039],-0.069,[-0.168~0.032],-0.097,[-0.196~0.004],-0.103,[-0.201~-0.003],-0.111,[-0.209~-0.011],-0.118,[-0.216~-0.018],-0.117,[-0.215~-0.017],-0.111,[-0.209~-0.011]
39,ki,linearRegression,final,delta_G,23,8.1%,51,17.9%,73,25.6%,-0.560,[-0.626~-0.487],-0.587,[-0.649~-0.517],-0.554,[-0.62~-0.48],-0.514,[-0.584~-0.436],-0.481,[-0.555~-0.4],-0.443,[-0.52~-0.358],-0.417,[-0.497~-0.33],-0.391,[-0.473~-0.302],-0.371,[-0.455~-0.281]
40,ki,linearRegression,final,Affinity_Data_Value,21,7.4%,47,16.5%,71,24.9%,-0.554,[-0.62~-0.48],-0.584,[-0.647~-0.514],-0.551,[-0.617~-0.477],-0.509,[-0.58~-0.431],-0.475,[-0.549~-0.393],-0.435,[-0.513~-0.35],-0.407,[-0.488~-0.32],-0.380,[-0.463~-0.291],-0.360,[-0.444~-0.269]
41,ki,linearRegression,final,pKd_pKi_pIC50,212,74.4%,240,84.2%,255,89.5%,0.555,[0.481~0.621],0.585,[0.515~0.647],0.553,[0.479~0.619],0.514,[0.436~0.584],0.481,[0.4~0.555],0.443,[0.358~0.52],0.417,[0.33~0.497],0.391,[0.302~0.473],0.371,[0.281~0.455]
42,ki,linearRegression,GAP,delta_G,13,4.6%,24,8.4%,37,13.0%,-0.271,[-0.362~-0.175],-0.363,[-0.447~-0.272],-0.396,[-0.478~-0.308],-0.414,[-0.494~-0.327],-0.433,[-0.511~-0.348],-0.433,[-0.511~-0.348],-0.434,[-0.512~-0.349],-0.437,[-0.515~-0.352],-0.438,[-0.516~-0.353]
43,ki,linearRegression,GAP,Affinity_Data_Value,24,8.4%,35,12.3%,39,13.7%,0.274,[0.178~0.365],0.225,[0.127~0.318],0.150,[0.05~0.247],0.066,[-0.035~0.165],-0.008,[-0.108~0.093],-0.068,[-0.167~0.033],-0.108,[-0.206~-0.008],-0.143,[-0.24~-0.043],-0.169,[-0.265~-0.07]
44,ki,linearRegression,GAP,pKd_pKi_pIC50,119,41.8%,165,57.9%,187,65.6%,0.385,[0.296~0.468],0.477,[0.395~0.551],0.489,[0.409~0.562],0.487,[0.406~0.56],0.494,[0.414~0.566],0.480,[0.399~0.554],0.472,[0.39~0.547],0.468,[0.386~0.543],0.463,[0.38~0.538]
45,ki,Ridge,final,delta_G,28,9.8%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.587,[-0.649~-0.517],-0.555,[-0.621~-0.481],-0.515,[-0.585~-0.437],-0.483,[-0.556~-0.402],-0.445,[-0.522~-0.361],-0.418,[-0.498~-0.331],-0.393,[-0.475~-0.305],-0.372,[-0.455~-0.282]
46,ki,Ridge,final,Affinity_Data_Value,29,10.2%,54,18.9%,74,26.0%,-0.557,[-0.623~-0.483],-0.586,[-0.648~-0.516],-0.553,[-0.619~-0.479],-0.512,[-0.583~-0.434],-0.478,[-0.552~-0.397],-0.438,[-0.516~-0.353],-0.410,[-0.49~-0.323],-0.383,[-0.466~-0.294],-0.363,[-0.447~-0.272]
47,ki,Ridge,final,pKd_pKi_pIC50,216,75.8%,240,84.2%,255,89.5%,0.559,[0.486~0.625],0.587,[0.517~0.649],0.555,[0.481~0.621],0.515,[0.437~0.585],0.483,[0.402~0.556],0.445,[0.361~0.522],0.418,[0.331~0.498],0.393,[0.305~0.475],0.372,[0.282~0.455]
48,ki,Ridge,GAP,delta_G,11,3.9%,18,6.3%,28,9.8%,-0.153,[-0.25~-0.053],-0.242,[-0.334~-0.145],-0.288,[-0.378~-0.193],-0.330,[-0.417~-0.237],-0.360,[-0.444~-0.269],-0.374,[-0.457~-0.284],-0.385,[-0.467~-0.296],-0.395,[-0.477~-0.307],-0.402,[-0.483~-0.314]
49,ki,Ridge,GAP,Affinity_Data_Value,27,9.5%,36,12.6%,39,13.7%,0.297,[0.202~0.386],0.254,[0.158~0.346],0.179,[0.08~0.275],0.092,[-0.009~0.191],0.017,[-0.084~0.117],-0.044,[-0.144~0.057],-0.086,[-0.185~0.015],-0.122,[-0.22~-0.022],-0.149,[-0.246~-0.049]
50,ki,Ridge,GAP,pKd_pKi_pIC50,97,34.0%,148,51.9%,173,60.7%,0.325,[0.232~0.412],0.420,[0.334~0.499],0.443,[0.358~0.52],0.452,[0.368~0.529],0.466,[0.383~0.541],0.461,[0.378~0.537],0.459,[0.376~0.535],0.459,[0.376~0.535],0.458,[0.375~0.534]
51,ki,Lasso,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.553,[-0.619~-0.479],-0.513,[-0.583~-0.435],-0.481,[-0.555~-0.4],-0.442,[-0.519~-0.357],-0.415,[-0.495~-0.328],-0.389,[-0.471~-0.3],-0.369,[-0.453~-0.279]
52,ki,Lasso,final,Affinity_Data_Value,29,10.2%,54,18.9%,76,26.7%,-0.558,[-0.624~-0.484],-0.584,[-0.647~-0.514],-0.553,[-0.619~-0.479],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.414,[-0.494~-0.327],-0.388,[-0.47~-0.299],-0.368,[-0.452~-0.278]
53,ki,Lasso,final,pKd_pKi_pIC50,217,76.1%,239,83.9%,257,90.2%,0.559,[0.486~0.625],0.587,[0.517~0.649],0.554,[0.48~0.62],0.514,[0.436~0.584],0.482,[0.401~0.556],0.444,[0.36~0.521],0.417,[0.33~0.497],0.391,[0.302~0.473],0.371,[0.281~0.455]
54,ki,Lasso,GAP,delta_G,13,4.6%,19,6.7%,27,9.5%,0.029,[-0.072~0.129],-0.040,[-0.14~0.061],-0.109,[-0.207~-0.009],-0.179,[-0.275~-0.08],-0.226,[-0.319~-0.128],-0.258,[-0.349~-0.162],-0.283,[-0.373~-0.188],-0.305,[-0.393~-0.211],-0.320,[-0.407~-0.227]
55,ki,Lasso,GAP,Affinity_Data_Value,38,13.3%,44,15.4%,55,19.3%,0.372,[0.282~0.456],0.337,[0.245~0.423],0.276,[0.18~0.366],0.190,[0.091~0.285],0.116,[0.016~0.214],0.049,[-0.052~0.149],0.004,[-0.097~0.104],-0.036,[-0.136~0.065],-0.067,[-0.166~0.034]
