,Datatype,Modeltype,Featuretype,Scoretype,Top1: # correct binding poses:,Top1: '%' correct binding poses:,Top2: # correct binding poses:,Top2: '%' correct binding poses:,Top3: # correct binding poses:,Top3: '%' correct binding poses:,Spearman correlation coefficient in rmsd range [0-2]:,90'%' confidence interval in rmsd range [0-2]:,Spearman correlation coefficient in rmsd range [0-3]:,90'%' confidence interval in rmsd range [0-3]:,Spearman correlation coefficient in rmsd range [0-4]:,90'%' confidence interval in rmsd range [0-4]:,Spearman correlation coefficient in rmsd range [0-5]:,90'%' confidence interval in rmsd range [0-5]:,Spearman correlation coefficient in rmsd range [0-6]:,90'%' confidence interval in rmsd range [0-6]:,Spearman correlation coefficient in rmsd range [0-7]:,90'%' confidence interval in rmsd range [0-7]:,Spearman correlation coefficient in rmsd range [0-8]:,90'%' confidence interval in rmsd range [0-8]:,Spearman correlation coefficient in rmsd range [0-9]:,90'%' confidence interval in rmsd range [0-9]:,Spearman correlation coefficient in rmsd range [0-10]:,90'%' confidence interval in rmsd range [0-10]:
56,ki,Lasso,GAP,pKd_pKi_pIC50,78,27.4%,126,44.2%,159,55.8%,0.275,[0.179~0.366],0.369,[0.279~0.453],0.399,[0.311~0.48],0.417,[0.33~0.497],0.435,[0.35~0.513],0.435,[0.35~0.513],0.437,[0.352~0.515],0.441,[0.356~0.519],0.442,[0.357~0.519]
57,ki,ElasticNet,final,delta_G,28,9.8%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.588,[-0.65~-0.518],-0.555,[-0.621~-0.481],-0.515,[-0.585~-0.437],-0.483,[-0.556~-0.402],-0.445,[-0.522~-0.361],-0.419,[-0.499~-0.332],-0.393,[-0.475~-0.305],-0.372,[-0.455~-0.282]
58,ki,ElasticNet,final,Affinity_Data_Value,27,9.5%,55,19.3%,73,25.6%,-0.553,[-0.619~-0.479],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.516,[-0.586~-0.438],-0.487,[-0.56~-0.406],-0.450,[-0.527~-0.366],-0.426,[-0.505~-0.34],-0.402,[-0.483~-0.314],-0.382,[-0.465~-0.293]
59,ki,ElasticNet,final,pKd_pKi_pIC50,217,76.1%,238,83.5%,256,89.8%,0.559,[0.486~0.625],0.587,[0.517~0.649],0.555,[0.481~0.621],0.514,[0.436~0.584],0.482,[0.401~0.556],0.444,[0.36~0.521],0.418,[0.331~0.498],0.392,[0.303~0.474],0.371,[0.281~0.455]
60,ki,ElasticNet,GAP,delta_G,17,6.0%,26,9.1%,29,10.2%,0.133,[0.033~0.231],0.079,[-0.022~0.178],-0.002,[-0.102~0.099],-0.083,[-0.182~0.018],-0.145,[-0.242~-0.045],-0.192,[-0.287~-0.093],-0.224,[-0.317~-0.126],-0.252,[-0.344~-0.155],-0.271,[-0.362~-0.175]
61,ki,ElasticNet,GAP,Affinity_Data_Value,33,11.6%,42,14.7%,46,16.1%,0.341,[0.249~0.427],0.306,[0.212~0.394],0.241,[0.144~0.333],0.155,[0.055~0.252],0.079,[-0.022~0.178],0.013,[-0.088~0.113],-0.031,[-0.131~0.07],-0.070,[-0.169~0.031],-0.100,[-0.199~0.001]
62,ki,ElasticNet,GAP,pKd_pKi_pIC50,72,25.3%,118,41.4%,151,53.0%,0.249,[0.152~0.341],0.344,[0.252~0.43],0.378,[0.288~0.461],0.401,[0.313~0.482],0.421,[0.335~0.5],0.425,[0.339~0.504],0.429,[0.343~0.508],0.434,[0.349~0.512],0.436,[0.351~0.514]
63,ki,SVR,final,delta_G,34,11.9%,60,21.1%,82,28.8%,0.089,[-0.017~0.193],0.072,[-0.031~0.174],0.065,[-0.037~0.166],0.058,[-0.044~0.158],0.075,[-0.026~0.175],0.092,[-0.009~0.191],0.097,[-0.004~0.196],0.097,[-0.004~0.196],0.104,[0.004~0.202]
64,ki,SVR,final,Affinity_Data_Value,29,10.2%,53,18.6%,76,26.7%,-0.555,[-0.621~-0.481],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.514,[-0.584~-0.436],-0.482,[-0.556~-0.401],-0.445,[-0.522~-0.361],-0.418,[-0.498~-0.331],-0.392,[-0.474~-0.303],-0.372,[-0.455~-0.282]
65,ki,SVR,final,pKd_pKi_pIC50,63,22.1%,98,34.4%,119,41.8%,0.160,[0.056~0.261],0.145,[0.043~0.244],0.131,[0.03~0.23],0.122,[0.021~0.221],0.096,[-0.005~0.195],0.078,[-0.023~0.177],0.063,[-0.038~0.162],0.055,[-0.046~0.155],0.050,[-0.051~0.15]
66,ki,DecisionTree,final,delta_G,44,15.4%,64,22.5%,86,30.2%,-0.135,[-0.24~-0.027],-0.171,[-0.268~-0.07],-0.147,[-0.244~-0.047],-0.128,[-0.226~-0.027],-0.117,[-0.215~-0.016],-0.086,[-0.185~0.015],-0.066,[-0.166~0.035],-0.054,[-0.154~0.047],-0.039,[-0.139~0.062]
67,ki,DecisionTree,final,Affinity_Data_Value,71,24.9%,101,35.4%,122,42.8%,-0.076,[-0.189~0.039],-0.121,[-0.222~-0.018],-0.116,[-0.215~-0.014],-0.105,[-0.204~-0.004],-0.087,[-0.186~0.014],-0.073,[-0.172~0.028],-0.067,[-0.167~0.034],-0.053,[-0.153~0.048],-0.044,[-0.144~0.057]
68,ki,DecisionTree,final,pKd_pKi_pIC50,79,27.7%,110,38.6%,130,45.6%,0.089,[-0.026~0.201],0.087,[-0.016~0.188],0.067,[-0.035~0.167],0.056,[-0.045~0.156],0.060,[-0.041~0.16],0.042,[-0.059~0.142],0.039,[-0.062~0.139],0.030,[-0.071~0.13],0.024,[-0.077~0.124]
69,ki,DecisionTree,GAP,delta_G,147,51.6%,167,58.6%,184,64.6%,0.119,[-0.067~0.297],0.130,[-0.014~0.269],0.100,[-0.032~0.228],0.099,[-0.023~0.218],0.089,[-0.028~0.203],0.083,[-0.032~0.195],0.085,[-0.028~0.196],0.078,[-0.035~0.189],0.074,[-0.039~0.185]
70,ki,DecisionTree,GAP,Affinity_Data_Value,79,27.7%,118,41.4%,146,51.2%,0.076,[-0.04~0.19],0.044,[-0.068~0.154],0.048,[-0.061~0.156],0.061,[-0.046~0.167],0.068,[-0.038~0.173],0.073,[-0.033~0.177],0.073,[-0.033~0.177],0.069,[-0.036~0.173],0.069,[-0.036~0.173]
71,ki,DecisionTree,GAP,pKd_pKi_pIC50,85,29.8%,107,37.5%,135,47.4%,0.078,[-0.052~0.206],0.066,[-0.051~0.181],0.076,[-0.035~0.185],0.097,[-0.011~0.203],0.106,[-0.001~0.211],0.094,[-0.011~0.197],0.095,[-0.01~0.198],0.090,[-0.014~0.192],0.089,[-0.015~0.191]
72,ki,RandomForest,final,delta_G,34,11.9%,55,19.3%,80,28.1%,-0.125,[-0.223~-0.024],-0.157,[-0.254~-0.057],-0.156,[-0.253~-0.056],-0.132,[-0.229~-0.032],-0.120,[-0.218~-0.02],-0.090,[-0.189~0.011],-0.075,[-0.174~0.026],-0.063,[-0.162~0.038],-0.049,[-0.149~0.052]
73,ki,RandomForest,final,Affinity_Data_Value,30,10.5%,43,15.1%,65,22.8%,-0.094,[-0.193~0.007],-0.155,[-0.252~-0.055],-0.141,[-0.238~-0.041],-0.122,[-0.22~-0.022],-0.111,[-0.209~-0.011],-0.084,[-0.183~0.017],-0.065,[-0.164~0.036],-0.050,[-0.15~0.051],-0.036,[-0.136~0.065]
74,ki,RandomForest,final,pKd_pKi_pIC50,49,17.2%,82,28.8%,106,37.2%,0.051,[-0.05~0.151],0.121,[0.021~0.219],0.110,[0.01~0.208],0.085,[-0.016~0.184],0.072,[-0.029~0.171],0.050,[-0.051~0.15],0.039,[-0.062~0.139],0.030,[-0.071~0.13],0.015,[-0.086~0.115]
75,ki,RandomForest,GAP,delta_G,47,16.5%,76,26.7%,95,33.3%,0.039,[-0.062~0.139],0.014,[-0.087~0.114],0.007,[-0.094~0.107],0.015,[-0.086~0.115],0.007,[-0.094~0.107],-0.002,[-0.102~0.099],-0.007,[-0.107~0.094],-0.001,[-0.102~0.1],-0.002,[-0.102~0.099]
76,ki,RandomForest,GAP,Affinity_Data_Value,69,24.2%,105,36.8%,133,46.7%,0.151,[0.051~0.248],0.154,[0.054~0.251],0.162,[0.063~0.258],0.153,[0.053~0.25],0.141,[0.041~0.238],0.134,[0.034~0.231],0.130,[0.03~0.228],0.124,[0.024~0.222],0.123,[0.023~0.221]
77,ki,RandomForest,GAP,pKd_pKi_pIC50,74,26.0%,110,38.6%,133,46.7%,-0.017,[-0.118~0.084],0.011,[-0.09~0.111],0.034,[-0.067~0.134],0.048,[-0.053~0.148],0.065,[-0.036~0.164],0.076,[-0.025~0.175],0.081,[-0.02~0.18],0.088,[-0.013~0.187],0.093,[-0.008~0.192]
78,kd,linearRegression,final,delta_G,26,9.1%,51,17.9%,70,24.6%,-0.543,[-0.61~-0.468],-0.572,[-0.636~-0.5],-0.542,[-0.609~-0.467],-0.506,[-0.577~-0.427],-0.474,[-0.548~-0.392],-0.436,[-0.514~-0.351],-0.409,[-0.489~-0.322],-0.382,[-0.465~-0.293],-0.362,[-0.446~-0.271]
79,kd,linearRegression,final,Affinity_Data_Value,27,9.5%,51,17.9%,76,26.7%,-0.541,[-0.609~-0.466],-0.567,[-0.632~-0.495],-0.534,[-0.602~-0.458],-0.498,[-0.57~-0.418],-0.467,[-0.542~-0.385],-0.429,[-0.508~-0.343],-0.403,[-0.484~-0.315],-0.380,[-0.463~-0.291],-0.361,[-0.445~-0.27]
80,kd,linearRegression,final,pKd_pKi_pIC50,200,70.2%,233,81.8%,250,87.7%,0.542,[0.467~0.61],0.569,[0.497~0.633],0.541,[0.466~0.608],0.504,[0.425~0.575],0.473,[0.391~0.547],0.434,[0.349~0.512],0.407,[0.32~0.488],0.379,[0.29~0.462],0.359,[0.268~0.444]
81,kd,linearRegression,GAP,delta_G,14,4.9%,27,9.5%,37,13.0%,-0.302,[-0.391~-0.207],-0.394,[-0.476~-0.306],-0.419,[-0.499~-0.332],-0.432,[-0.51~-0.347],-0.449,[-0.526~-0.365],-0.448,[-0.525~-0.364],-0.447,[-0.524~-0.363],-0.447,[-0.524~-0.363],-0.446,[-0.523~-0.362]
82,kd,linearRegression,GAP,Affinity_Data_Value,23,8.1%,28,9.8%,39,13.7%,0.174,[0.074~0.27],0.131,[0.031~0.229],0.051,[-0.05~0.151],-0.033,[-0.133~0.068],-0.098,[-0.197~0.003],-0.149,[-0.246~-0.049],-0.182,[-0.277~-0.083],-0.214,[-0.308~-0.116],-0.235,[-0.328~-0.138]
83,kd,linearRegression,GAP,pKd_pKi_pIC50,101,35.4%,152,53.3%,178,62.5%,0.333,[0.24~0.42],0.428,[0.342~0.507],0.448,[0.364~0.525],0.458,[0.375~0.534],0.471,[0.389~0.546],0.465,[0.382~0.54],0.461,[0.378~0.537],0.459,[0.376~0.535],0.455,[0.371~0.531]
84,kd,Ridge,final,delta_G,30,10.5%,56,19.6%,75,26.3%,-0.563,[-0.628~-0.49],-0.590,[-0.652~-0.52],-0.557,[-0.623~-0.484],-0.516,[-0.586~-0.438],-0.483,[-0.556~-0.402],-0.443,[-0.52~-0.358],-0.415,[-0.495~-0.328],-0.389,[-0.471~-0.3],-0.368,[-0.452~-0.278]
85,kd,Ridge,final,Affinity_Data_Value,27,9.5%,52,18.2%,74,26.0%,-0.563,[-0.628~-0.49],-0.591,[-0.653~-0.521],-0.558,[-0.624~-0.485],-0.518,[-0.588~-0.44],-0.486,[-0.559~-0.405],-0.448,[-0.525~-0.364],-0.422,[-0.501~-0.336],-0.396,[-0.478~-0.308],-0.375,[-0.458~-0.285]
86,kd,Ridge,final,pKd_pKi_pIC50,221,77.5%,245,86.0%,257,90.2%,0.562,[0.489~0.627],0.589,[0.519~0.651],0.557,[0.484~0.623],0.516,[0.438~0.586],0.483,[0.402~0.556],0.443,[0.358~0.52],0.416,[0.329~0.496],0.390,[0.301~0.472],0.369,[0.279~0.453]
87,kd,Ridge,GAP,delta_G,13,4.6%,24,8.4%,36,12.6%,-0.271,[-0.362~-0.175],-0.365,[-0.449~-0.275],-0.395,[-0.477~-0.307],-0.415,[-0.495~-0.328],-0.433,[-0.511~-0.348],-0.435,[-0.513~-0.35],-0.437,[-0.515~-0.352],-0.441,[-0.519~-0.356],-0.443,[-0.52~-0.358]
88,kd,Ridge,GAP,Affinity_Data_Value,19,6.7%,30,10.5%,38,13.3%,0.221,[0.123~0.315],0.171,[0.072~0.267],0.092,[-0.009~0.191],0.007,[-0.094~0.107],-0.064,[-0.163~0.037],-0.121,[-0.219~-0.021],-0.159,[-0.255~-0.059],-0.191,[-0.286~-0.092],-0.215,[-0.309~-0.117]
89,kd,Ridge,GAP,pKd_pKi_pIC50,87,30.5%,135,47.4%,168,58.9%,0.305,[0.211~0.394],0.399,[0.311~0.48],0.426,[0.34~0.505],0.438,[0.353~0.516],0.454,[0.37~0.53],0.451,[0.367~0.528],0.451,[0.367~0.528],0.453,[0.369~0.529],0.452,[0.368~0.529]
90,kd,Lasso,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.562,[-0.627~-0.489],-0.588,[-0.65~-0.518],-0.555,[-0.621~-0.481],-0.515,[-0.585~-0.437],-0.482,[-0.556~-0.401],-0.443,[-0.52~-0.358],-0.416,[-0.496~-0.329],-0.390,[-0.472~-0.301],-0.369,[-0.453~-0.279]
91,kd,Lasso,final,Affinity_Data_Value,28,9.8%,54,18.9%,75,26.3%,-0.561,[-0.626~-0.488],-0.588,[-0.65~-0.518],-0.555,[-0.621~-0.481],-0.515,[-0.585~-0.437],-0.482,[-0.556~-0.401],-0.443,[-0.52~-0.358],-0.416,[-0.496~-0.329],-0.390,[-0.472~-0.301],-0.369,[-0.453~-0.279]
92,kd,Lasso,final,pKd_pKi_pIC50,218,76.5%,239,83.9%,255,89.5%,0.561,[0.488~0.626],0.587,[0.517~0.649],0.555,[0.481~0.621],0.515,[0.437~0.585],0.482,[0.401~0.556],0.443,[0.358~0.52],0.416,[0.329~0.496],0.390,[0.301~0.472],0.370,[0.28~0.454]
93,kd,Lasso,GAP,delta_G,18,6.3%,27,9.5%,33,11.6%,0.152,[0.052~0.249],0.100,[-0.001~0.199],0.017,[-0.084~0.117],-0.065,[-0.164~0.036],-0.128,[-0.226~-0.028],-0.177,[-0.273~-0.078],-0.210,[-0.304~-0.112],-0.239,[-0.332~-0.142],-0.259,[-0.35~-0.163]
94,kd,Lasso,GAP,Affinity_Data_Value,24,8.4%,36,12.6%,39,13.7%,0.282,[0.186~0.372],0.235,[0.138~0.328],0.159,[0.059~0.255],0.073,[-0.028~0.172],-0.003,[-0.103~0.098],-0.063,[-0.162~0.038],-0.104,[-0.202~-0.004],-0.139,[-0.236~-0.039],-0.165,[-0.261~-0.066]
95,kd,Lasso,GAP,pKd_pKi_pIC50,71,24.9%,117,41.1%,152,53.3%,0.250,[0.153~0.342],0.346,[0.254~0.432],0.380,[0.291~0.463],0.402,[0.314~0.483],0.422,[0.336~0.501],0.425,[0.339~0.504],0.429,[0.343~0.508],0.434,[0.349~0.512],0.436,[0.351~0.514]
96,kd,ElasticNet,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.560,[-0.626~-0.487],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.515,[-0.585~-0.437],-0.482,[-0.556~-0.401],-0.443,[-0.52~-0.358],-0.416,[-0.496~-0.329],-0.390,[-0.472~-0.301],-0.370,[-0.454~-0.28]
97,kd,ElasticNet,final,Affinity_Data_Value,28,9.8%,52,18.2%,75,26.3%,-0.557,[-0.623~-0.483],-0.582,[-0.645~-0.511],-0.550,[-0.616~-0.476],-0.511,[-0.582~-0.433],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.416,[-0.496~-0.329],-0.391,[-0.473~-0.302],-0.370,[-0.454~-0.28]
98,kd,ElasticNet,final,pKd_pKi_pIC50,218,76.5%,239,83.9%,255,89.5%,0.561,[0.488~0.626],0.587,[0.517~0.649],0.555,[0.481~0.621],0.515,[0.437~0.585],0.482,[0.401~0.556],0.443,[0.358~0.52],0.416,[0.329~0.496],0.390,[0.301~0.472],0.370,[0.28~0.454]
99,kd,ElasticNet,GAP,delta_G,23,8.1%,34,11.9%,39,13.7%,0.260,[0.163~0.352],0.211,[0.113~0.305],0.134,[0.034~0.231],0.047,[-0.054~0.147],-0.026,[-0.126~0.075],-0.085,[-0.184~0.016],-0.125,[-0.223~-0.025],-0.159,[-0.255~-0.059],-0.184,[-0.279~-0.085]
100,kd,ElasticNet,GAP,Affinity_Data_Value,34,11.9%,42,14.7%,46,16.1%,0.338,[0.246~0.424],0.306,[0.212~0.394],0.240,[0.143~0.332],0.155,[0.055~0.252],0.080,[-0.021~0.179],0.015,[-0.086~0.115],-0.029,[-0.129~0.072],-0.068,[-0.167~0.033],-0.098,[-0.197~0.003]
101,kd,ElasticNet,GAP,pKd_pKi_pIC50,53,18.6%,87,30.5%,127,44.6%,0.145,[0.045~0.242],0.234,[0.137~0.327],0.280,[0.185~0.37],0.324,[0.231~0.411],0.355,[0.264~0.44],0.369,[0.279~0.453],0.381,[0.292~0.464],0.392,[0.303~0.474],0.399,[0.311~0.48]
102,kd,SVR,final,delta_G,31,10.9%,65,22.8%,92,32.3%,0.336,[0.24~0.426],0.273,[0.175~0.365],0.256,[0.158~0.349],0.256,[0.159~0.348],0.253,[0.156~0.345],0.267,[0.171~0.358],0.271,[0.175~0.362],0.273,[0.177~0.364],0.276,[0.18~0.366]
103,kd,SVR,final,Affinity_Data_Value,28,9.8%,54,18.9%,74,26.0%,-0.567,[-0.632~-0.494],-0.595,[-0.656~-0.526],-0.562,[-0.627~-0.489],-0.522,[-0.591~-0.445],-0.490,[-0.563~-0.41],-0.452,[-0.529~-0.368],-0.426,[-0.505~-0.34],-0.400,[-0.481~-0.312],-0.379,[-0.462~-0.29]
104,kd,SVR,final,pKd_pKi_pIC50,29,10.2%,62,21.8%,73,25.6%,-0.319,[-0.41~-0.222],-0.256,[-0.349~-0.158],-0.243,[-0.336~-0.145],-0.243,[-0.336~-0.145],-0.240,[-0.333~-0.142],-0.257,[-0.349~-0.16],-0.262,[-0.353~-0.166],-0.264,[-0.355~-0.168],-0.269,[-0.36~-0.173]
105,kd,DecisionTree,final,delta_G,105,36.8%,135,47.4%,154,54.0%,0.062,[-0.059~0.181],0.086,[-0.018~0.189],0.061,[-0.042~0.163],0.052,[-0.05~0.153],0.050,[-0.051~0.15],0.037,[-0.064~0.138],0.029,[-0.072~0.13],0.022,[-0.079~0.123],0.019,[-0.082~0.12]
106,kd,DecisionTree,final,Affinity_Data_Value,67,23.5%,105,36.8%,122,42.8%,-0.049,[-0.172~0.076],-0.035,[-0.147~0.077],-0.048,[-0.158~0.063],-0.042,[-0.15~0.067],-0.048,[-0.155~0.061],-0.046,[-0.153~0.062],-0.037,[-0.144~0.071],-0.030,[-0.137~0.077],-0.029,[-0.136~0.078]
107,kd,DecisionTree,final,pKd_pKi_pIC50,144,50.5%,164,57.5%,177,62.1%,-0.280,[-0.611~0.135],-0.263,[-0.57~0.109],-0.184,[-0.472~0.139],-0.157,[-0.432~0.145],-0.147,[-0.424~0.155],-0.126,[-0.395~0.162],-0.125,[-0.39~0.159],-0.130,[-0.394~0.154],-0.132,[-0.396~0.152]
108,kd,DecisionTree,GAP,delta_G,118,41.4%,145,50.9%,163,57.2%,0.222,[0.089~0.348],0.176,[0.058~0.289],0.180,[0.067~0.288],0.168,[0.058~0.274],0.145,[0.036~0.251],0.126,[0.017~0.232],0.116,[0.007~0.222],0.111,[0.003~0.217],0.108,[-0.0~0.214]
109,kd,DecisionTree,GAP,Affinity_Data_Value,119,41.8%,146,51.2%,172,60.4%,0.059,[-0.116~0.23],0.100,[-0.062~0.257],0.110,[-0.04~0.256],0.097,[-0.047~0.237],0.076,[-0.064~0.213],0.060,[-0.078~0.196],0.051,[-0.085~0.185],0.042,[-0.093~0.176],0.035,[-0.1~0.169]
110,kd,DecisionTree,GAP,pKd_pKi_pIC50,80,28.1%,123,43.2%,156,54.7%,0.019,[-0.108~0.146],0.015,[-0.103~0.132],-0.004,[-0.117~0.109],-0.021,[-0.131~0.09],-0.034,[-0.143~0.076],-0.036,[-0.145~0.073],-0.034,[-0.142~0.075],-0.041,[-0.149~0.068],-0.045,[-0.152~0.063]
111,kd,RandomForest,final,delta_G,34,11.9%,60,21.1%,84,29.5%,-0.085,[-0.184~0.016],-0.145,[-0.242~-0.045],-0.158,[-0.254~-0.058],-0.138,[-0.235~-0.038],-0.123,[-0.221~-0.023],-0.084,[-0.183~0.017],-0.062,[-0.162~0.039],-0.041,[-0.141~0.06],-0.025,[-0.125~0.076]
112,kd,RandomForest,final,Affinity_Data_Value,36,12.6%,62,21.8%,85,29.8%,-0.066,[-0.166~0.035],-0.122,[-0.22~-0.022],-0.108,[-0.206~-0.008],-0.081,[-0.18~0.02],-0.069,[-0.168~0.032],-0.036,[-0.136~0.065],-0.023,[-0.123~0.078],-0.006,[-0.106~0.095],0.007,[-0.094~0.107]
113,kd,RandomForest,final,pKd_pKi_pIC50,47,16.5%,82,28.8%,108,37.9%,0.123,[0.022~0.221],0.166,[0.067~0.262],0.164,[0.065~0.26],0.139,[0.039~0.236],0.119,[0.019~0.217],0.083,[-0.018~0.182],0.061,[-0.04~0.161],0.045,[-0.056~0.145],0.034,[-0.067~0.134]
114,kd,RandomForest,GAP,delta_G,41,14.4%,68,23.9%,88,30.9%,-0.107,[-0.206~-0.006],-0.107,[-0.205~-0.007],-0.106,[-0.204~-0.006],-0.104,[-0.202~-0.004],-0.082,[-0.181~0.019],-0.058,[-0.158~0.043],-0.044,[-0.144~0.057],-0.043,[-0.143~0.058],-0.043,[-0.143~0.058]
115,kd,RandomForest,GAP,Affinity_Data_Value,73,25.6%,106,37.2%,127,44.6%,0.128,[0.027~0.226],0.145,[0.045~0.242],0.143,[0.043~0.24],0.143,[0.043~0.24],0.139,[0.039~0.236],0.138,[0.038~0.235],0.134,[0.034~0.231],0.133,[0.033~0.23],0.130,[0.03~0.228]
116,kd,RandomForest,GAP,pKd_pKi_pIC50,30,10.5%,52,18.2%,74,26.0%,-0.110,[-0.209~-0.009],-0.108,[-0.206~-0.008],-0.096,[-0.195~0.005],-0.107,[-0.205~-0.007],-0.111,[-0.209~-0.011],-0.113,[-0.211~-0.013],-0.115,[-0.213~-0.015],-0.113,[-0.211~-0.013],-0.109,[-0.207~-0.009]
