,Datatype,Modeltype,Featuretype,Scoretype,The regression equation: logKa =,Number of favorable sample (N):,Pearson correlation coefficient (R),Standard deviation in fitting (SD)
376,ki,RandomForest,final,Affinity_Data_Value,0.00 + 2.28 * Score,285,0.229,2.12
377,ki,RandomForest,final,pKd_pKi_pIC50,0.41 + 3.21 * Score,285,0.059,2.17
378,kd,linearRegression,basic,delta_G,0.01 + 4.21 * Score,283,0.539,1.83
379,kd,linearRegression,basic,Affinity_Data_Value,0.00 + 4.27 * Score,283,0.547,1.82
380,kd,linearRegression,basic,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.537,1.83
381,kd,linearRegression,-w,delta_G,0.03 + 3.08 * Score,283,0.556,1.81
382,kd,linearRegression,-w,Affinity_Data_Value,0.00 + 3.39 * Score,283,0.533,1.84
383,kd,linearRegression,-w,pKd_pKi_pIC50,0.14 + 2.75 * Score,283,0.558,1.80
384,kd,linearRegression,basic-el,delta_G,0.01 + 4.21 * Score,283,0.538,1.83
385,kd,linearRegression,basic-el,Affinity_Data_Value,0.00 + 4.27 * Score,283,0.547,1.82
386,kd,linearRegression,basic-el,pKd_pKi_pIC50,0.04 + 4.17 * Score,283,0.537,1.83
387,kd,linearRegression,-w-el,delta_G,0.03 + 3.09 * Score,283,0.555,1.81
388,kd,linearRegression,-w-el,Affinity_Data_Value,0.00 + 3.39 * Score,283,0.533,1.84
389,kd,linearRegression,-w-el,pKd_pKi_pIC50,0.14 + 2.76 * Score,283,0.557,1.80
390,kd,linearRegression,basic-vdw,delta_G,0.01 + 4.21 * Score,283,0.539,1.83
391,kd,linearRegression,basic-vdw,Affinity_Data_Value,0.00 + 4.27 * Score,283,0.547,1.82
392,kd,linearRegression,basic-vdw,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.537,1.83
393,kd,linearRegression,-w-vdw,delta_G,0.01 + 4.21 * Score,283,0.539,1.83
394,kd,linearRegression,-w-vdw,Affinity_Data_Value,0.00 + 4.27 * Score,283,0.547,1.82
395,kd,linearRegression,-w-vdw,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.537,1.83
396,kd,linearRegression,basic-el-vdw,delta_G,0.01 + 2.87 * Score,282,0.634,1.68
397,kd,linearRegression,basic-el-vdw,Affinity_Data_Value,0.00 + 2.17 * Score,282,0.665,1.62
398,kd,linearRegression,basic-el-vdw,pKd_pKi_pIC50,0.04 + 2.76 * Score,282,0.637,1.68
399,kd,linearRegression,-w-el-vdw,delta_G,0.02 + 2.07 * Score,281,0.640,1.67
400,kd,linearRegression,-w-el-vdw,Affinity_Data_Value,0.00 + 2.33 * Score,281,0.618,1.71
401,kd,linearRegression,-w-el-vdw,pKd_pKi_pIC50,0.08 + 1.85 * Score,281,0.643,1.67
402,kd,linearRegression,final,delta_G,0.00 + 6.50 * Score,283,0.026,2.17
403,kd,linearRegression,final,Affinity_Data_Value,0.00 + 2.33 * Score,278,0.660,1.63
404,kd,linearRegression,final,pKd_pKi_pIC50,-0.00 + 6.51 * Score,284,-0.080,2.16
405,kd,Ridge,basic,delta_G,0.01 + 4.21 * Score,283,0.538,1.83
406,kd,Ridge,basic,Affinity_Data_Value,0.00 + 4.27 * Score,283,0.548,1.82
407,kd,Ridge,basic,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.537,1.83
408,kd,Ridge,-w,delta_G,0.03 + 2.96 * Score,283,0.556,1.81
409,kd,Ridge,-w,Affinity_Data_Value,0.00 + 3.36 * Score,283,0.537,1.83
410,kd,Ridge,-w,pKd_pKi_pIC50,0.15 + 2.74 * Score,283,0.558,1.80
411,kd,Ridge,basic-el,delta_G,0.01 + 4.21 * Score,283,0.538,1.83
412,kd,Ridge,basic-el,Affinity_Data_Value,0.00 + 4.27 * Score,283,0.548,1.82
413,kd,Ridge,basic-el,pKd_pKi_pIC50,0.04 + 4.17 * Score,283,0.537,1.83
414,kd,Ridge,-w-el,delta_G,0.03 + 2.97 * Score,283,0.555,1.81
415,kd,Ridge,-w-el,Affinity_Data_Value,0.00 + 3.36 * Score,283,0.537,1.83
416,kd,Ridge,-w-el,pKd_pKi_pIC50,0.15 + 2.74 * Score,283,0.557,1.80
417,kd,Ridge,basic-vdw,delta_G,0.01 + 4.21 * Score,283,0.538,1.83
418,kd,Ridge,basic-vdw,Affinity_Data_Value,0.00 + 4.27 * Score,283,0.548,1.82
419,kd,Ridge,basic-vdw,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.537,1.83
420,kd,Ridge,-w-vdw,delta_G,0.01 + 4.21 * Score,283,0.538,1.83
421,kd,Ridge,-w-vdw,Affinity_Data_Value,0.00 + 4.27 * Score,283,0.548,1.82
422,kd,Ridge,-w-vdw,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.537,1.83
423,kd,Ridge,basic-el-vdw,delta_G,0.01 + 2.84 * Score,282,0.636,1.68
424,kd,Ridge,basic-el-vdw,Affinity_Data_Value,0.00 + 2.17 * Score,282,0.662,1.63
425,kd,Ridge,basic-el-vdw,pKd_pKi_pIC50,0.05 + 2.73 * Score,282,0.638,1.67
426,kd,Ridge,-w-el-vdw,delta_G,0.02 + 2.04 * Score,281,0.639,1.67
427,kd,Ridge,-w-el-vdw,Affinity_Data_Value,0.00 + 2.33 * Score,281,0.619,1.71
428,kd,Ridge,-w-el-vdw,pKd_pKi_pIC50,0.08 + 1.82 * Score,281,0.642,1.67
429,kd,Ridge,final,delta_G,0.01 + 2.23 * Score,285,0.649,1.65
430,kd,Ridge,final,Affinity_Data_Value,0.00 + 2.31 * Score,285,0.657,1.64
431,kd,Ridge,final,pKd_pKi_pIC50,0.06 + 2.09 * Score,285,0.651,1.65
432,kd,Lasso,basic,delta_G,0.01 + 4.20 * Score,283,0.537,1.83
433,kd,Lasso,basic,Affinity_Data_Value,0.00 + 4.33 * Score,283,0.543,1.82
434,kd,Lasso,basic,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.536,1.83
435,kd,Lasso,-w,delta_G,0.03 + 3.04 * Score,283,0.553,1.81
436,kd,Lasso,-w,Affinity_Data_Value,0.00 + 3.27 * Score,283,0.554,1.81
437,kd,Lasso,-w,pKd_pKi_pIC50,0.16 + 2.69 * Score,283,0.552,1.81
438,kd,Lasso,basic-el,delta_G,0.01 + 4.21 * Score,283,0.537,1.83
439,kd,Lasso,basic-el,Affinity_Data_Value,0.00 + 4.33 * Score,283,0.543,1.82
440,kd,Lasso,basic-el,pKd_pKi_pIC50,0.04 + 4.17 * Score,283,0.535,1.83
441,kd,Lasso,-w-el,delta_G,0.04 + 3.01 * Score,283,0.548,1.82
442,kd,Lasso,-w-el,Affinity_Data_Value,0.00 + 3.41 * Score,283,0.555,1.81
443,kd,Lasso,-w-el,pKd_pKi_pIC50,0.15 + 2.72 * Score,283,0.553,1.81
444,kd,Lasso,basic-vdw,delta_G,0.01 + 4.21 * Score,283,0.538,1.83
445,kd,Lasso,basic-vdw,Affinity_Data_Value,0.00 + 4.33 * Score,283,0.543,1.82
446,kd,Lasso,basic-vdw,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.536,1.83
447,kd,Lasso,-w-vdw,delta_G,0.01 + 4.21 * Score,283,0.538,1.83
448,kd,Lasso,-w-vdw,Affinity_Data_Value,0.00 + 4.33 * Score,283,0.543,1.82
449,kd,Lasso,-w-vdw,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.536,1.83
450,kd,Lasso,basic-el-vdw,delta_G,0.01 + 2.84 * Score,282,0.636,1.68
451,kd,Lasso,basic-el-vdw,Affinity_Data_Value,0.00 + 2.19 * Score,282,0.650,1.65
452,kd,Lasso,basic-el-vdw,pKd_pKi_pIC50,0.05 + 2.73 * Score,282,0.638,1.67
453,kd,Lasso,-w-el-vdw,delta_G,0.02 + 2.03 * Score,281,0.640,1.67
454,kd,Lasso,-w-el-vdw,Affinity_Data_Value,0.00 + 2.53 * Score,282,0.604,1.73
455,kd,Lasso,-w-el-vdw,pKd_pKi_pIC50,0.08 + 1.82 * Score,281,0.643,1.67
456,kd,Lasso,final,delta_G,0.02 + 2.10 * Score,285,0.654,1.65
457,kd,Lasso,final,Affinity_Data_Value,0.00 + 2.45 * Score,285,0.655,1.64
458,kd,Lasso,final,pKd_pKi_pIC50,0.07 + 1.96 * Score,285,0.654,1.64
459,kd,ElasticNet,basic,delta_G,0.01 + 4.21 * Score,283,0.538,1.83
460,kd,ElasticNet,basic,Affinity_Data_Value,0.00 + 5.35 * Score,253,0.475,1.83
461,kd,ElasticNet,basic,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.536,1.83
462,kd,ElasticNet,-w,delta_G,0.04 + 2.91 * Score,283,0.555,1.81
463,kd,ElasticNet,-w,Affinity_Data_Value,-0.00 + 7.92 * Score,222,-0.480,1.86
464,kd,ElasticNet,-w,pKd_pKi_pIC50,0.15 + 2.69 * Score,283,0.557,1.80
465,kd,ElasticNet,basic-el,delta_G,0.01 + 4.21 * Score,283,0.537,1.83
466,kd,ElasticNet,basic-el,Affinity_Data_Value,0.00 + 5.35 * Score,253,0.474,1.83
467,kd,ElasticNet,basic-el,pKd_pKi_pIC50,0.04 + 4.17 * Score,283,0.536,1.83
468,kd,ElasticNet,-w-el,delta_G,0.03 + 2.99 * Score,283,0.555,1.81
469,kd,ElasticNet,-w-el,Affinity_Data_Value,-0.00 + 7.88 * Score,223,-0.477,1.86
470,kd,ElasticNet,-w-el,pKd_pKi_pIC50,0.15 + 2.69 * Score,283,0.556,1.81
471,kd,ElasticNet,basic-vdw,delta_G,0.01 + 4.21 * Score,283,0.537,1.83
472,kd,ElasticNet,basic-vdw,Affinity_Data_Value,0.00 + 5.35 * Score,253,0.475,1.83
473,kd,ElasticNet,basic-vdw,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.536,1.83
474,kd,ElasticNet,-w-vdw,delta_G,0.01 + 4.21 * Score,283,0.537,1.83
475,kd,ElasticNet,-w-vdw,Affinity_Data_Value,0.00 + 5.35 * Score,253,0.475,1.83
476,kd,ElasticNet,-w-vdw,pKd_pKi_pIC50,0.04 + 4.16 * Score,283,0.536,1.83
477,kd,ElasticNet,basic-el-vdw,delta_G,0.01 + 2.77 * Score,282,0.638,1.67
478,kd,ElasticNet,basic-el-vdw,Affinity_Data_Value,0.00 + 4.99 * Score,282,0.499,1.87
479,kd,ElasticNet,basic-el-vdw,pKd_pKi_pIC50,0.05 + 2.71 * Score,282,0.639,1.67
480,kd,ElasticNet,-w-el-vdw,delta_G,0.02 + 2.02 * Score,281,0.639,1.67
481,kd,ElasticNet,-w-el-vdw,Affinity_Data_Value,0.00 + 5.84 * Score,274,0.348,1.99
482,kd,ElasticNet,-w-el-vdw,pKd_pKi_pIC50,0.08 + 1.80 * Score,281,0.643,1.67
483,kd,ElasticNet,final,delta_G,0.02 + 2.05 * Score,285,0.652,1.65
484,kd,ElasticNet,final,Affinity_Data_Value,0.00 + 4.53 * Score,274,0.594,1.68
485,kd,ElasticNet,final,pKd_pKi_pIC50,0.07 + 1.95 * Score,285,0.654,1.64
486,kd,SVR,basic,delta_G,-1.80 + 39.89 * Score,283,-0.121,2.16
487,kd,SVR,basic,Affinity_Data_Value,0.00 + 4.47 * Score,283,0.536,1.83
488,kd,SVR,basic,pKd_pKi_pIC50,-9.79 + 64.69 * Score,283,-0.079,2.17
489,kd,SVR,-w,delta_G,-0.79 + 21.36 * Score,283,-0.329,2.05
490,kd,SVR,-w,Affinity_Data_Value,0.00 + 3.83 * Score,283,0.550,1.81
491,kd,SVR,-w,pKd_pKi_pIC50,-2.71 + 22.67 * Score,283,-0.231,2.11
492,kd,SVR,basic-el,delta_G,-1.43 + 32.07 * Score,283,-0.122,2.16
493,kd,SVR,basic-el,Affinity_Data_Value,0.00 + 4.47 * Score,283,0.535,1.84
494,kd,SVR,basic-el,pKd_pKi_pIC50,-17.46 + 109.64 * Score,283,-0.100,2.16
495,kd,SVR,-w-el,delta_G,-0.75 + 20.01 * Score,283,-0.338,2.04
496,kd,SVR,-w-el,Affinity_Data_Value,0.00 + 3.87 * Score,283,0.547,1.82
497,kd,SVR,-w-el,pKd_pKi_pIC50,-3.22 + 26.30 * Score,283,-0.325,2.05
498,kd,SVR,basic-vdw,delta_G,-1.67 + 37.45 * Score,283,-0.120,2.16
499,kd,SVR,basic-vdw,Affinity_Data_Value,0.00 + 4.47 * Score,283,0.536,1.83
500,kd,SVR,basic-vdw,pKd_pKi_pIC50,-4.84 + 35.95 * Score,283,-0.116,2.16
501,kd,SVR,-w-vdw,delta_G,-1.80 + 39.89 * Score,283,-0.121,2.16
502,kd,SVR,-w-vdw,Affinity_Data_Value,0.00 + 4.47 * Score,283,0.535,1.84
503,kd,SVR,-w-vdw,pKd_pKi_pIC50,-4.84 + 35.95 * Score,283,-0.116,2.16
504,kd,SVR,basic-el-vdw,delta_G,0.00 + 6.47 * Score,283,nan,2.17
505,kd,SVR,basic-el-vdw,Affinity_Data_Value,0.00 + 3.90 * Score,278,0.583,1.77
506,kd,SVR,basic-el-vdw,pKd_pKi_pIC50,0.13 + 5.66 * Score,283,nan,2.17
507,kd,SVR,-w-el-vdw,delta_G,-6504400846.76 + 114241346240.71 * Score,283,-0.098,2.16
508,kd,SVR,-w-el-vdw,Affinity_Data_Value,0.00 + 3.04 * Score,275,0.610,1.72
509,kd,SVR,-w-el-vdw,pKd_pKi_pIC50,-84969959737.14 + 514105680872.85 * Score,283,-0.098,2.16
510,kd,SVR,final,delta_G,-7.57 + 150.73 * Score,285,-0.201,2.13
511,kd,SVR,final,Affinity_Data_Value,0.00 + 2.64 * Score,285,0.648,1.66
512,kd,SVR,final,pKd_pKi_pIC50,-38.10 + 244.47 * Score,285,-0.195,2.13
513,kd,DecisionTree,basic,delta_G,-0.03 + 7.21 * Score,283,-0.100,2.16
514,kd,DecisionTree,basic,Affinity_Data_Value,-0.00 + 6.50 * Score,283,-0.102,2.16
515,kd,DecisionTree,basic,pKd_pKi_pIC50,-0.38 + 8.61 * Score,283,-0.251,2.10
516,kd,DecisionTree,-w,delta_G,-0.02 + 6.88 * Score,283,-0.067,2.17
517,kd,DecisionTree,-w,Affinity_Data_Value,-0.00 + 6.49 * Score,283,-0.020,2.17
518,kd,DecisionTree,-w,pKd_pKi_pIC50,-0.50 + 9.75 * Score,283,-0.301,2.07
519,kd,DecisionTree,basic-el,delta_G,0.02 + 5.92 * Score,283,0.091,2.16
520,kd,DecisionTree,basic-el,Affinity_Data_Value,-0.00 + 6.51 * Score,283,-0.079,2.17
521,kd,DecisionTree,basic-el,pKd_pKi_pIC50,0.55 + 2.63 * Score,283,0.235,2.11
522,kd,DecisionTree,-w-el,delta_G,-0.03 + 7.39 * Score,283,-0.149,2.15
523,kd,DecisionTree,-w-el,Affinity_Data_Value,-0.00 + 6.65 * Score,283,-0.150,2.15
524,kd,DecisionTree,-w-el,pKd_pKi_pIC50,0.30 + 4.06 * Score,283,0.236,2.11
525,kd,DecisionTree,basic-vdw,delta_G,-0.03 + 7.10 * Score,283,-0.055,2.17
526,kd,DecisionTree,basic-vdw,Affinity_Data_Value,-0.00 + 6.52 * Score,283,-0.039,2.17
527,kd,DecisionTree,basic-vdw,pKd_pKi_pIC50,0.20 + 4.70 * Score,283,0.177,2.14
528,kd,DecisionTree,-w-vdw,delta_G,-0.00 + 6.49 * Score,283,-0.002,2.17
529,kd,DecisionTree,-w-vdw,Affinity_Data_Value,-0.00 + 6.95 * Score,283,-0.132,2.15
530,kd,DecisionTree,-w-vdw,pKd_pKi_pIC50,0.03 + 6.27 * Score,283,0.018,2.17
531,kd,DecisionTree,basic-el-vdw,delta_G,-0.05 + 6.99 * Score,283,-0.073,2.17
532,kd,DecisionTree,basic-el-vdw,Affinity_Data_Value,-0.00 + 6.49 * Score,283,-0.026,2.17
533,kd,DecisionTree,basic-el-vdw,pKd_pKi_pIC50,0.01 + 6.41 * Score,283,0.006,2.17
534,kd,DecisionTree,-w-el-vdw,delta_G,0.06 + 5.17 * Score,283,0.192,2.13
535,kd,DecisionTree,-w-el-vdw,Affinity_Data_Value,-0.00 + 6.58 * Score,283,-0.107,2.16
536,kd,DecisionTree,-w-el-vdw,pKd_pKi_pIC50,0.09 + 5.92 * Score,283,0.042,2.17
537,kd,DecisionTree,final,delta_G,0.02 + 6.08 * Score,285,0.133,2.16
538,kd,DecisionTree,final,Affinity_Data_Value,0.00 + 6.44 * Score,285,0.086,2.17
539,kd,DecisionTree,final,pKd_pKi_pIC50,0.07 + 6.10 * Score,285,0.026,2.17
540,kd,RandomForest,basic,delta_G,-0.17 + 10.22 * Score,283,-0.116,2.16
541,kd,RandomForest,basic,Affinity_Data_Value,-0.00 + 8.75 * Score,283,-0.251,2.10
542,kd,RandomForest,basic,pKd_pKi_pIC50,-0.91 + 12.40 * Score,283,-0.080,2.17
543,kd,RandomForest,-w,delta_G,0.14 + 3.35 * Score,283,0.081,2.17
544,kd,RandomForest,-w,Affinity_Data_Value,-0.00 + 7.48 * Score,283,-0.153,2.15
545,kd,RandomForest,-w,pKd_pKi_pIC50,-1.56 + 16.85 * Score,283,-0.183,2.14
546,kd,RandomForest,basic-el,delta_G,-0.12 + 8.98 * Score,283,-0.074,2.17
547,kd,RandomForest,basic-el,Affinity_Data_Value,-0.00 + 7.38 * Score,283,-0.087,2.16
548,kd,RandomForest,basic-el,pKd_pKi_pIC50,0.17 + 5.33 * Score,283,0.019,2.17
549,kd,RandomForest,-w-el,delta_G,-0.08 + 8.10 * Score,283,-0.042,2.17
550,kd,RandomForest,-w-el,Affinity_Data_Value,-0.00 + 8.26 * Score,283,-0.218,2.12
551,kd,RandomForest,-w-el,pKd_pKi_pIC50,-0.81 + 11.74 * Score,283,-0.088,2.16
552,kd,RandomForest,basic-vdw,delta_G,-0.07 + 7.95 * Score,283,-0.041,2.17
553,kd,RandomForest,basic-vdw,Affinity_Data_Value,-0.00 + 8.18 * Score,283,-0.262,2.10
554,kd,RandomForest,basic-vdw,pKd_pKi_pIC50,-0.14 + 7.43 * Score,283,-0.017,2.17
555,kd,RandomForest,-w-vdw,delta_G,-0.05 + 7.46 * Score,283,-0.026,2.17
556,kd,RandomForest,-w-vdw,Affinity_Data_Value,-0.00 + 8.19 * Score,283,-0.280,2.09
557,kd,RandomForest,-w-vdw,pKd_pKi_pIC50,0.01 + 6.43 * Score,283,0.001,2.17
558,kd,RandomForest,basic-el-vdw,delta_G,-0.43 + 15.18 * Score,283,-0.167,2.14
559,kd,RandomForest,basic-el-vdw,Affinity_Data_Value,-0.00 + 7.59 * Score,283,-0.084,2.16
560,kd,RandomForest,basic-el-vdw,pKd_pKi_pIC50,-0.05 + 6.77 * Score,283,-0.005,2.17
561,kd,RandomForest,-w-el-vdw,delta_G,-0.61 + 19.00 * Score,283,-0.337,2.05
562,kd,RandomForest,-w-el-vdw,Affinity_Data_Value,-0.00 + 7.86 * Score,283,-0.105,2.16
563,kd,RandomForest,-w-el-vdw,pKd_pKi_pIC50,-1.37 + 15.25 * Score,283,-0.123,2.16
564,kd,RandomForest,final,delta_G,0.59 + -8.24 * Score,285,0.172,2.14
565,kd,RandomForest,final,Affinity_Data_Value,-0.00 + 6.73 * Score,285,-0.051,2.17
566,kd,RandomForest,final,pKd_pKi_pIC50,3.52 + -19.78 * Score,285,0.238,2.11
