,Datatype,Modeltype,Featuretype,Scoretype,Top 1'%' average enrichment factor:,Top 5'%' average enrichment factor:,Top 10'%' average enrichment factor:,1'%' cluster number:,1'%' success rate:,5'%' cluster number:,5'%' success rate:,10'%' cluster number:,10'%' success rate:
0,all,linearRegression,final,delta_G,"3.16
","1.26
","0.96
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
1,all,linearRegression,final,Affinity_Data_Value,"2.81
","1.30
","0.98
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
2,all,linearRegression,final,pKd_pKi_pIC50,"0.35
","1.06
","1.03
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
3,all,Ridge,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
4,all,Ridge,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
5,all,Ridge,final,pKd_pKi_pIC50,"0.60
","1.08
","1.14
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
6,all,Lasso,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
7,all,Lasso,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
8,all,Lasso,final,pKd_pKi_pIC50,"0.95
","0.96
","1.12
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
9,all,ElasticNet,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
10,all,ElasticNet,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
11,all,ElasticNet,final,pKd_pKi_pIC50,"0.95
","0.96
","1.12
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
12,all,SVR,final,delta_G,"0.70
","1.04
","1.09
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
13,all,SVR,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
14,all,SVR,final,pKd_pKi_pIC50,"0.00
","0.41
","0.87
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
15,all,DecisionTree,final,delta_G,"1.05
","0.78
","0.84
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
16,all,DecisionTree,final,Affinity_Data_Value,"0.60
","0.89
","0.60
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
17,all,DecisionTree,final,pKd_pKi_pIC50,"1.05
","0.55
","0.84
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
18,all,RandomForest,final,delta_G,"1.05
","0.81
","0.92
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
19,all,RandomForest,final,Affinity_Data_Value,"1.05
","0.69
","0.79
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
20,all,RandomForest,final,pKd_pKi_pIC50,"1.01
","0.76
","0.90
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
21,ki,linearRegression,final,delta_G,"2.28
","1.29
","1.08
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
22,ki,linearRegression,final,Affinity_Data_Value,"2.98
","1.44
","1.08
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
23,ki,linearRegression,final,pKd_pKi_pIC50,"1.05
","1.19
","1.06
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
24,ki,Ridge,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
25,ki,Ridge,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
26,ki,Ridge,final,pKd_pKi_pIC50,"1.30
","1.03
","1.16
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
27,ki,Lasso,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
28,ki,Lasso,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
29,ki,Lasso,final,pKd_pKi_pIC50,"0.95
","0.96
","1.09
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
30,ki,ElasticNet,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
31,ki,ElasticNet,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
32,ki,ElasticNet,final,pKd_pKi_pIC50,"0.95
","0.96
","1.12
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
33,ki,SVR,final,delta_G,"0.70
","0.83
","1.02
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
34,ki,SVR,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
35,ki,SVR,final,pKd_pKi_pIC50,"0.35
","0.42
","0.71
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
36,ki,DecisionTree,final,delta_G,"0.35
","1.01
","0.77
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
37,ki,DecisionTree,final,Affinity_Data_Value,"1.25
","0.70
","0.71
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
38,ki,DecisionTree,final,pKd_pKi_pIC50,"0.70
","0.76
","0.78
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
39,ki,RandomForest,final,delta_G,"0.49
","0.82
","0.88
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
40,ki,RandomForest,final,Affinity_Data_Value,"0.94
","0.82
","0.85
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
41,ki,RandomForest,final,pKd_pKi_pIC50,"1.19
","0.73
","0.70
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
42,kd,linearRegression,final,delta_G,"1.40
","0.99
","0.79
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
43,kd,linearRegression,final,Affinity_Data_Value,"1.40
","1.09
","0.85
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
44,kd,linearRegression,final,pKd_pKi_pIC50,"1.40
","1.27
","1.01
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
45,kd,Ridge,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
46,kd,Ridge,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
47,kd,Ridge,final,pKd_pKi_pIC50,"1.30
","1.08
","1.03
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
48,kd,Lasso,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
49,kd,Lasso,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
50,kd,Lasso,final,pKd_pKi_pIC50,"0.95
","0.96
","1.00
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
51,kd,ElasticNet,final,delta_G,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
52,kd,ElasticNet,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
53,kd,ElasticNet,final,pKd_pKi_pIC50,"1.30
","1.01
","1.00
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
54,kd,SVR,final,delta_G,"1.05
","1.18
","1.18
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
55,kd,SVR,final,Affinity_Data_Value,"1.25
","0.74
","0.66
",0,"0.0%
",1,"1.8%
",1,"1.8%
"
56,kd,SVR,final,pKd_pKi_pIC50,"0.35
","0.48
","0.97
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
57,kd,DecisionTree,final,delta_G,"1.29
","1.01
","0.91
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
58,kd,DecisionTree,final,Affinity_Data_Value,"0.35
","0.83
","0.93
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
59,kd,DecisionTree,final,pKd_pKi_pIC50,"0.35
","0.75
","0.74
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
60,kd,RandomForest,final,delta_G,"0.70
","0.85
","0.85
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
61,kd,RandomForest,final,Affinity_Data_Value,"0.70
","0.84
","0.84
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
62,kd,RandomForest,final,pKd_pKi_pIC50,"0.49
","0.73
","0.76
",0,"0.0%
",0,"0.0%
",0,"0.0%
"
