,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (rÂ²),Spearman correlation coefficient,add. information,System
0,DecisionTree,delta G,kd,0.9400000000000003,1.6502142857142859,1.939516166259945,0.802356,[0.544 ~ 0.922],0.643775,0.682716,X-GRADE,004-AR
1,Lasso,delta G,kd,0.8596866909985553,0.9675929619013292,0.3008718179854889,0.722726,[0.395 ~ 0.887],0.522333,0.572058,GRADE,004-AR
2,XGBoost,delta G,ki,1.1852152134064706,2.367587941472364,1.0000871419906616,0.567902,[0.322 ~ 0.742],0.322512,0.535311,X-GRADE,009-CDK2
3,SVR,delta G,all,1.4565964331809453,3.6186384344418476,0.8387835537843095,0.497189,[0.23 ~ 0.694],0.247197,0.431396,GRADE,009-CDK2
4,ElasticNet,delta G,ki,1.1755754499696411,2.047829274338098,0.7269237384019919,0.842403,[0.638 ~ 0.936],0.709643,0.728571,X-GRADE,008-Trypsin
5,linearRegression,delta G,kd,1.1244679491180867,2.213917330771999,0.7372244654692983,0.919856,[0.805 ~ 0.968],0.846135,0.8,GRADE,008-Trypsin
6,RandomForest,delta G,ki,2.0940700000000003,5.226321643,0.33171023213039447,0.569746,[0.025 ~ 0.853],0.324611,0.563636,X-GRADE,001-CA2
7,RandomForest,delta G,all,0.7673899999999991,0.7801342769999986,0.7610580493628581,0.601912,[0.074 ~ 0.866],0.362297,0.648485,GRADE,001-CA2
8,SVR,delta G,all,0.7202775425610981,0.6657415437626665,0.6324874268614494,0.693292,[0.378 ~ 0.864],0.480654,0.691176,X-GRADE,003-CK2
9,SVR,delta G,ki,0.4842081563004422,0.37856559274291646,0.5195459611761246,0.573185,[0.194 ~ 0.804],0.328542,0.494118,GRADE,003-CK2
10,SVR,delta G,kd,1.9770630033532386,4.4650816392661365,0.5666999890683349,0.670232,[0.368 ~ 0.844],0.449211,0.510836,X-GRADE,010-MMP12
11,XGBoost,delta G,all,1.139169487423367,2.1404049948439736,0.9424765706062317,0.361899,[-0.046 ~ 0.666],0.130971,0.180599,GRADE,010-MMP12
12,Ridge,delta G,kd,1.3525894808924193,2.149068447803932,0.27888224090620345,0.924186,[0.76 ~ 0.978],0.85412,0.90303,X-GRADE,005-Cath-D
13,ElasticNet,delta G,kd,1.4013430771935522,2.5594581806203305,0.21382268685843783,0.855658,[0.575 ~ 0.956],0.732151,0.721212,GRADE,005-Cath-D
14,SVR,delta G,kd,3.77336047356955,14.81316957864279,0.6856985525812258,0.821072,[0.545 ~ 0.936],0.67416,0.664336,X-GRADE,007-JAK1
15,linearRegression,delta G,kd,3.9163154888100067,16.29857931127167,0.3033452242947227,0.816923,[0.536 ~ 0.935],0.667363,0.881119,GRADE,007-JAK1
16,Lasso,delta G,kd,0.8817477644285925,1.039682198038825,0.5032117420774381,0.758353,[0.49 ~ 0.895],0.5751,0.844118,X-GRADE,006-BACE1-D3R
17,ElasticNet,delta G,kd,0.7549845129150744,1.0410341033822965,0.5426872457536734,0.725142,[0.432 ~ 0.88],0.525831,0.711765,GRADE,006-BACE1-D3R
18,SVR,delta G,kd,1.9886289308308014,5.993713745259769,0.4428506043945555,0.570393,[0.264 ~ 0.772],0.325349,0.421796,X-GRADE,002-HIV-PR
19,SVR,delta G,kd,1.6989896717516595,4.512034448150956,0.5510458392198939,0.423981,[0.075 ~ 0.68],0.17976,0.450028,GRADE,002-HIV-PR
