,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (rÂ²),add. information,Time
0,linearRegression,pKd pKi pIC50,all,516399.87806480646,76000125634812.66,8702497.08102484,-0.079731,[-0.176 ~ 0.018],0.006357,X-GRADE_core,0.0016642570495605468
1,linearRegression,pKd pKi pIC50,all,248070188762.90094,4.582443775619742e+26,21405205885419.785,0.008249000000000001,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.012044048309326172
2,linearRegression,pKd pKi pIC50,all,1.4278063412955109,3.052924812640103,1.1354231891623585,0.614815,[0.55 ~ 0.672],0.37799799999999995,GRADE_core,0.0019893646240234375
3,linearRegression,pKd pKi pIC50,all,1.4319178415396252,4.7874520513901135,1.8970841058535775,0.31099599999999994,[0.298 ~ 0.323],0.096719,GRADE_general,0.004869294166564941
4,linearRegression,pKd pKi pIC50,ki,605662.2047954574,104545121365699.89,10206776.828636372,-0.079731,[-0.176 ~ 0.018],0.006357,X-GRADE_core,0.0016289234161376953
5,linearRegression,pKd pKi pIC50,ki,1130649448703.6208,1.5396005184675833e+28,124075488383502.0,0.009084999999999998,[-0.005 ~ 0.023],8.299999999999998e-05,X-GRADE_general,0.011713647842407226
6,linearRegression,pKd pKi pIC50,ki,1.4278063412955098,3.052924812640101,1.1354231891623578,0.614815,[0.55 ~ 0.672],0.37799799999999995,GRADE_core,0.001539468765258789
7,linearRegression,pKd pKi pIC50,ki,1.4319178415396252,4.787452051390118,1.8970841058535792,0.31099599999999994,[0.298 ~ 0.323],0.096719,GRADE_general,0.004852414131164551
8,linearRegression,pKd pKi pIC50,kd,303412.5541942274,26236479293394.19,5113161.382010014,-0.079731,[-0.176 ~ 0.018],0.006357,X-GRADE_core,0.0016468048095703125
9,linearRegression,pKd pKi pIC50,kd,138516778325.303,1.5044431741013592e+26,12264792319892.404,0.00501,[-0.009 ~ 0.019],2.5000000000000005e-05,X-GRADE_general,0.011368155479431152
10,linearRegression,pKd pKi pIC50,kd,1.4278063412955109,3.052924812640103,1.1354231891623578,0.614815,[0.55 ~ 0.672],0.37799799999999995,GRADE_core,0.0015304088592529297
11,linearRegression,pKd pKi pIC50,kd,1.4319178415396252,4.78745205139012,1.8970841058535801,0.31099599999999994,[0.298 ~ 0.323],0.096719,GRADE_general,0.004833698272705078
12,Ridge,pKd pKi pIC50,all,1.3761918917911655,2.9886423249814977,1.052552399204247,0.6242289999999999,[0.561 ~ 0.68],0.389662,X-GRADE_core,0.0016165971755981445
13,Ridge,pKd pKi pIC50,all,159984.12544627851,120869617439075.22,10992909.250072224,0.008274000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011246967315673827
14,Ridge,pKd pKi pIC50,all,1.425936537495399,3.046219785848392,1.1304343368367538,0.6160740000000001,[0.552 ~ 0.673],0.379547,GRADE_core,0.0025550365447998048
15,Ridge,pKd pKi pIC50,all,1.4281600695180752,4.741790249166237,1.8851054163237086,0.312773,[0.3 ~ 0.325],0.097827,GRADE_general,0.0048399209976196286
16,Ridge,pKd pKi pIC50,ki,1.3761918917920253,2.9886423249855762,1.0525523992015515,0.6242289999999999,[0.561 ~ 0.68],0.389662,X-GRADE_core,0.0020222187042236326
17,Ridge,pKd pKi pIC50,ki,159984.1254430898,120869617434256.25,10992909.249853088,0.008274000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011196780204772949
18,Ridge,pKd pKi pIC50,ki,1.4259365374850859,3.0462197858075197,1.130434336862082,0.6160740000000001,[0.552 ~ 0.673],0.379547,GRADE_core,0.0019045352935791015
19,Ridge,pKd pKi pIC50,ki,1.428160069518702,4.741790249161523,1.8851054163047465,0.312773,[0.3 ~ 0.325],0.097827,GRADE_general,0.004846000671386718
20,Ridge,pKd pKi pIC50,kd,1.3761918917922877,2.9886423249855762,1.052552399201156,0.6242289999999999,[0.561 ~ 0.68],0.389662,X-GRADE_core,0.0015699386596679688
21,Ridge,pKd pKi pIC50,kd,159984.12545531886,120869617452740.9,10992909.250693655,0.008274000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011276984214782714
22,Ridge,pKd pKi pIC50,kd,1.4259365374948907,3.0462197858394604,1.1304343368511043,0.6160740000000001,[0.552 ~ 0.673],0.379547,GRADE_core,0.001512622833251953
23,Ridge,pKd pKi pIC50,kd,1.428160069519009,4.741790249158532,1.885105416294762,0.312773,[0.3 ~ 0.325],0.097827,GRADE_general,0.0047981500625610355
24,Lasso,pKd pKi pIC50,all,1.3804844312682292,2.907608378309288,0.9555810401309923,0.655589,[0.596 ~ 0.708],0.4297969999999999,X-GRADE_core,0.0016480207443237305
25,Lasso,pKd pKi pIC50,all,168073.44282926904,133510446933664.72,11553449.75411443,0.008248000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011296343803405762
26,Lasso,pKd pKi pIC50,all,1.4175494819230834,3.0163754054791236,1.1085532909183313,0.62183,[0.558 ~ 0.678],0.38667199999999996,GRADE_core,0.002000117301940918
27,Lasso,pKd pKi pIC50,all,1.4170314485877498,4.590432230269934,1.8416864175141243,0.317965,[0.305 ~ 0.33],0.101102,GRADE_general,0.004896998405456543
28,Lasso,pKd pKi pIC50,ki,1.3803817596764225,2.9058695287913463,0.960236857541602,0.6549820000000001,[0.595 ~ 0.707],0.4290010000000001,X-GRADE_core,0.0016545772552490235
29,Lasso,pKd pKi pIC50,ki,132339.85640534034,82776164750142.5,9097178.257806493,0.008248000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011981916427612305
30,Lasso,pKd pKi pIC50,ki,1.4175494819230834,3.0163754054791236,1.1085532909183307,0.62183,[0.558 ~ 0.678],0.38667199999999996,GRADE_core,0.0015578031539916991
31,Lasso,pKd pKi pIC50,ki,1.4170314485877527,4.590432230269976,1.841686417514135,0.317965,[0.305 ~ 0.33],0.101102,GRADE_general,0.004983186721801758
32,Lasso,pKd pKi pIC50,kd,1.3670243149809906,2.8689006054118527,0.9967393371128581,0.6577510000000001,[0.599 ~ 0.71],0.432636,X-GRADE_core,0.0016381025314331054
33,Lasso,pKd pKi pIC50,kd,118444.55192595511,66306000316655.67,8141988.232246244,0.008248000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011246967315673827
34,Lasso,pKd pKi pIC50,kd,1.4175494819230827,3.016375405479123,1.1085532909183304,0.62183,[0.558 ~ 0.678],0.38667199999999996,GRADE_core,0.0015498638153076173
35,Lasso,pKd pKi pIC50,kd,1.4170314485877504,4.590432230269949,1.8416864175141288,0.317965,[0.305 ~ 0.33],0.101102,GRADE_general,0.004952549934387207
36,ElasticNet,pKd pKi pIC50,all,1.3883472066019684,2.9371992448128763,0.9505053683246236,0.6495360000000001,[0.589 ~ 0.703],0.421898,X-GRADE_core,0.0016663789749145508
37,ElasticNet,pKd pKi pIC50,all,159879.73829728767,120788986926678.88,10989241.435893176,0.008273,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.01138465404510498
38,ElasticNet,pKd pKi pIC50,all,1.4222523523544124,3.0333906543311673,1.1210274227333898,0.6185109999999999,[0.554 ~ 0.675],0.38255600000000006,GRADE_core,0.0016929388046264648
39,ElasticNet,pKd pKi pIC50,all,1.4227913020040943,4.672537868395723,1.865981685051199,0.31529,[0.303 ~ 0.328],0.09940799999999998,GRADE_general,0.00498354434967041
40,ElasticNet,pKd pKi pIC50,ki,1.3881075270775296,2.936275451491734,0.9510048078789455,0.6496630000000001,[0.589 ~ 0.703],0.42206200000000005,X-GRADE_core,0.0022408008575439454
41,ElasticNet,pKd pKi pIC50,ki,159879.7382972911,120788986926684.22,10989241.435893416,0.008273,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011286211013793946
42,ElasticNet,pKd pKi pIC50,ki,1.4224406740402884,3.0340556015015845,1.1215315036612414,0.6183820000000001,[0.554 ~ 0.675],0.382396,GRADE_core,0.001578974723815918
43,ElasticNet,pKd pKi pIC50,ki,1.4244328898524308,4.693124048414762,1.8715979669947473,0.314505,[0.302 ~ 0.327],0.09891399999999999,GRADE_general,0.005006575584411621
44,ElasticNet,pKd pKi pIC50,kd,1.3853970787743286,2.926316234575005,0.9574206253671902,0.6508349999999999,[0.591 ~ 0.704],0.42358600000000013,X-GRADE_core,0.0016885042190551759
45,ElasticNet,pKd pKi pIC50,kd,165977.1748461037,130177702469828.28,11408337.136374082,0.008273,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.01134321689605713
46,ElasticNet,pKd pKi pIC50,kd,1.4231344474420482,3.0365081744058315,1.1233818818035322,0.617908,[0.554 ~ 0.675],0.3818099999999999,GRADE_core,0.0016005754470825196
47,ElasticNet,pKd pKi pIC50,kd,1.423799201505199,4.6851775550878845,1.869432356716199,0.314807,[0.302 ~ 0.327],0.09910399999999998,GRADE_general,0.004958200454711914
48,SVR,pKd pKi pIC50,all,1.366134259785818,2.9394533378081986,1.062387893006981,0.6292480000000001,[0.566 ~ 0.685],0.395953,X-GRADE_core,0.17669854164123536
49,SVR,pKd pKi pIC50,all,1.1881642422969334,2.294054968379935,1.1775308861480158,0.5598609999999999,[0.55 ~ 0.569],0.313444,X-GRADE_general,9.223146200180054
50,SVR,pKd pKi pIC50,all,1.2748082725426684,2.5496388269784704,1.211874478319775,0.6905200000000001,[0.636 ~ 0.738],0.476818,GRADE_core,0.07450225353240966
51,SVR,pKd pKi pIC50,all,1.1815095384114274,2.2613473402157314,1.1798102337522312,0.56679,[0.557 ~ 0.576],0.32125,GRADE_general,3.8228333234786986
52,SVR,pKd pKi pIC50,ki,1.3661342597858166,2.939453337808197,1.0623878930069832,0.6292480000000001,[0.566 ~ 0.685],0.395953,X-GRADE_core,0.17994182109832763
53,SVR,pKd pKi pIC50,ki,1.188164242296933,2.2940549683799323,1.17753088614802,0.5598609999999999,[0.55 ~ 0.569],0.313444,X-GRADE_general,9.20015287399292
54,SVR,pKd pKi pIC50,ki,1.2748082725426964,2.5496388269785757,1.2118744783197435,0.6905200000000001,[0.636 ~ 0.738],0.476818,GRADE_core,0.07798771858215332
55,SVR,pKd pKi pIC50,ki,1.1815095384114465,2.261347340215676,1.1798102337511107,0.56679,[0.557 ~ 0.576],0.32125,GRADE_general,3.821356105804443
56,SVR,pKd pKi pIC50,kd,1.3661297223261484,2.93940153391567,1.0624252717101916,0.6292539999999999,[0.566 ~ 0.685],0.39596099999999995,X-GRADE_core,0.1765132188796997
57,SVR,pKd pKi pIC50,kd,1.1881719436527296,2.2940691753212863,1.1774660929451275,0.5598530000000002,[0.55 ~ 0.569],0.3134350000000001,X-GRADE_general,9.098413014411927
58,SVR,pKd pKi pIC50,kd,1.274789943364125,2.549567918433989,1.211870748654007,0.6905339999999999,[0.636 ~ 0.738],0.476837,GRADE_core,0.07337236404418945
59,SVR,pKd pKi pIC50,kd,1.1815095384114276,2.2613473402157314,1.1798102337522247,0.56679,[0.557 ~ 0.576],0.32125,GRADE_general,3.8101041316986084
60,DecisionTree,pKd pKi pIC50,all,1.4789122807017545,3.7000368421052636,1.8317908212467766,0.54927,[0.477 ~ 0.614],0.301698,X-GRADE_core,0.002120351791381836
61,DecisionTree,pKd pKi pIC50,all,1.6130731638218,4.1857576740562354,1.8628075875255283,0.38180099999999995,[0.37 ~ 0.394],0.145772,X-GRADE_general,0.01599597930908203
62,DecisionTree,pKd pKi pIC50,all,1.7028070175438597,4.548796491228069,1.9125209139326056,0.461307,[0.381 ~ 0.535],0.212804,GRADE_core,0.0019637107849121093
63,DecisionTree,pKd pKi pIC50,all,1.5706615199376726,4.045976096040796,1.8528102770329435,0.39985999999999994,[0.388 ~ 0.411],0.159888,GRADE_general,0.00740666389465332
64,DecisionTree,pKd pKi pIC50,ki,1.4516842105263161,3.608658596491229,1.8164662828823057,0.5587410000000002,[0.488 ~ 0.622],0.31219099999999994,X-GRADE_core,0.0030411481857299805
65,DecisionTree,pKd pKi pIC50,ki,1.608907854663928,4.168906445215668,1.8604105704906284,0.383311,[0.371 ~ 0.395],0.146927,X-GRADE_general,0.014797306060791016
66,DecisionTree,pKd pKi pIC50,ki,1.6610526315789476,4.1816547368421055,1.8791667911259027,0.49986600000000003,[0.423 ~ 0.57],0.24986599999999998,GRADE_core,0.0032384395599365234
67,DecisionTree,pKd pKi pIC50,ki,1.6083235356611656,4.204145591047526,1.8616647965828546,0.379133,[0.367 ~ 0.391],0.143742,GRADE_general,0.007424688339233399
68,DecisionTree,pKd pKi pIC50,kd,1.4832982456140351,3.6027705263157896,1.845809603406678,0.5638110000000001,[0.493 ~ 0.627],0.3178830000000001,X-GRADE_core,0.0021226882934570314
69,DecisionTree,pKd pKi pIC50,kd,1.5934542106381469,4.080789956795806,1.8455345358195614,0.39133599999999996,[0.38 ~ 0.403],0.15314399999999997,X-GRADE_general,0.014797711372375488
70,DecisionTree,pKd pKi pIC50,kd,1.6754736842105262,4.329087368421054,1.9261130030992237,0.4908640000000001,[0.413 ~ 0.562],0.240948,GRADE_core,0.0019979238510131835
71,DecisionTree,pKd pKi pIC50,kd,1.6044507401374033,4.182094411785536,1.8664351955393041,0.38423099999999993,[0.372 ~ 0.396],0.14763400000000002,GRADE_general,0.007412624359130859
72,RandomForest,pKd pKi pIC50,all,1.2393028070175434,2.4060842696491216,1.12232466366625,0.7329439999999999,[0.684 ~ 0.775],0.5372070000000001,X-GRADE_core,0.05000627040863037
73,RandomForest,pKd pKi pIC50,all,1.1503904030030456,2.1496050571931447,1.1764065934168852,0.5936279999999999,[0.585 ~ 0.603],0.35239399999999993,X-GRADE_general,0.21361610889434815
74,RandomForest,pKd pKi pIC50,all,1.2417912280701755,2.412351454350877,1.1421565899987456,0.7286479999999999,[0.679 ~ 0.771],0.5309280000000001,GRADE_core,0.04685444831848144
75,RandomForest,pKd pKi pIC50,all,1.1591067993483954,2.1782027085593887,1.1700577872615416,0.5894779999999998,[0.58 ~ 0.598],0.34748400000000007,GRADE_general,0.19676132202148439
76,RandomForest,pKd pKi pIC50,ki,1.2153185964912279,2.3011269729824555,1.1603784667262589,0.746797,[0.7 ~ 0.787],0.5577050000000001,X-GRADE_core,0.050809645652771
77,RandomForest,pKd pKi pIC50,ki,1.1514386004674548,2.1517270588568596,1.1701011659057325,0.592847,[0.584 ~ 0.602],0.35146800000000006,X-GRADE_general,0.21123764514923096
78,RandomForest,pKd pKi pIC50,ki,1.2586905263157893,2.4316997432982452,1.1518535485476513,0.7230439999999999,[0.673 ~ 0.767],0.522793,GRADE_core,0.04821040630340576
79,RandomForest,pKd pKi pIC50,ki,1.1551747220058075,2.1681941726389975,1.1691888513782014,0.5909519999999999,[0.582 ~ 0.6],0.349224,GRADE_general,0.1996832847595215
80,RandomForest,pKd pKi pIC50,kd,1.2333726315789477,2.3837026087719297,1.131500376945643,0.7356939999999998,[0.687 ~ 0.777],0.541246,X-GRADE_core,0.04721376895904541
81,RandomForest,pKd pKi pIC50,kd,1.1517897868120972,2.1496604176244776,1.1786711729558557,0.5933789999999999,[0.584 ~ 0.602],0.352099,X-GRADE_general,0.21130313873291015
82,RandomForest,pKd pKi pIC50,kd,1.244213333333333,2.397238983017544,1.14481557673141,0.731237,[0.682 ~ 0.774],0.534707,GRADE_core,0.04937613010406494
83,RandomForest,pKd pKi pIC50,kd,1.15680648062894,2.1678963831142433,1.1687368760435193,0.5914739999999999,[0.582 ~ 0.6],0.349841,GRADE_general,0.20279788970947266
84,XGBoost,pKd pKi pIC50,all,1.328793328904269,2.7674149672236292,1.3811798095703125,0.642589,[0.581 ~ 0.697],0.412921,X-GRADE_core,0.05084936618804932
85,XGBoost,pKd pKi pIC50,all,1.2530614010741752,2.603899315439794,1.4020702838897705,0.523308,[0.513 ~ 0.533],0.273851,X-GRADE_general,0.07451233863830567
86,XGBoost,pKd pKi pIC50,all,1.3061304575936836,2.6545718715977205,1.3641129732131958,0.664732,[0.606 ~ 0.716],0.44186899999999996,GRADE_core,0.050689530372619626
87,XGBoost,pKd pKi pIC50,all,1.2778046269592092,2.663947170971681,1.4128680229187012,0.5120380000000001,[0.502 ~ 0.522],0.2621820000000001,GRADE_general,0.06675503253936768
88,XGBoost,pKd pKi pIC50,ki,1.328793328904269,2.7674149672236292,1.381179928779602,0.642589,[0.581 ~ 0.697],0.412921,X-GRADE_core,0.050847411155700684
89,XGBoost,pKd pKi pIC50,ki,1.2530614010741752,2.603899315439794,1.4020702838897705,0.523308,[0.513 ~ 0.533],0.273851,X-GRADE_general,0.07451658248901367
90,XGBoost,pKd pKi pIC50,ki,1.3061304575936836,2.6545718715977205,1.3641129732131958,0.664732,[0.606 ~ 0.716],0.44186899999999996,GRADE_core,0.051780986785888675
91,XGBoost,pKd pKi pIC50,ki,1.2778046269592092,2.663947170971681,1.4128680229187012,0.5120380000000001,[0.502 ~ 0.522],0.2621820000000001,GRADE_general,0.06624343395233154
92,XGBoost,pKd pKi pIC50,kd,1.3287933289042688,2.7674149672236292,1.381179928779602,0.642589,[0.581 ~ 0.697],0.412921,X-GRADE_core,0.0511214017868042
93,XGBoost,pKd pKi pIC50,kd,1.2530614010741754,2.603899315439794,1.4020702838897705,0.523308,[0.513 ~ 0.533],0.273851,X-GRADE_general,0.07543940544128418
94,XGBoost,pKd pKi pIC50,kd,1.3061304575936836,2.6545718715977205,1.3641129732131958,0.664732,[0.606 ~ 0.716],0.44186899999999996,GRADE_core,0.051076316833496095
95,XGBoost,pKd pKi pIC50,kd,1.2778046269592092,2.663947170971681,1.4128680229187012,0.5120380000000001,[0.502 ~ 0.522],0.2621820000000001,GRADE_general,0.0665475845336914
